HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
22:59;;00:01:38;489;4848,2773;;00:04:19;1701;2,0001;;00:01:38;489;2,0002;;
22:59;;00:00:00;0;4041,2312;;00:00:00;0;0;;00:00:00;0;0;;
23:00;;00:00:55;309;4148,2373;;00:04:15;1348;1;;00:00:55;309;0;;
23:00;;00:01:43;521;3975,2274;;00:03:07;827;1;;00:01:43;521;0;;
23:01;;00:00:22;72;4405,2519;;00:01:52;474;0;;00:00:22;72;0;;
23:01;;00:02:58;1042;4307,2464;;00:07:31;2399;0;;00:02:58;1042;0;;
23:02;;00:01:46;509;3984,2279;;00:02:42;847;0;;00:02:34;776;0;;
23:03;;00:00:39;176;4083,2335;;00:02:14;872;0;;00:00:39;176;0;;
23:03;;00:01:31;525;4345,2485;;00:03:25;1028;0;;00:01:31;525;0;;
23:04;;00:00:15;53;3924,2244;;00:04:05;1328;1,0001;;00:00:15;53;0;;
23:04;;00:01:08;345;4012,2295;;00:02:30;807;0;;00:01:08;345;0;;
23:05;;00:02:41;604;4590,2625;;00:03:57;1357;0;;00:02:41;604;0;;
23:06;;00:00:29;155;4006,2291;;00:01:16;386;0;;00:00:29;155;0;;
23:06;;00:00:08;97;3995,2286;;00:03:00;828;0;;00:00:08;97;0;;
23:07;;00:04:19;2114;4148,2372;;00:06:53;2728;0;;00:07:08;2443;0;;
23:07;;00:00:47;223;3714,2124;;00:00:47;223;0;;00:00:47;223;0;;
23:08;;00:01:37;483;4000,2288;;00:02:24;851;0;;00:02:24;851;0;;
23:08;;00:00:54;247;4154,2376;;00:00:54;247;0;;00:01:10;355;0;;
23:09;;00:02:05;822;4003,229;;00:06:39;3260;0;;00:02:05;822;0;;
23:09;;00:00:33;179;3962,2266;;00:01:54;598;0;;00:00:33;179;0;;
23:10;;00:01:04;464;4313,2467;;00:06:51;2326;1;;00:02:32;1050;0;;
23:10;;00:00:52;313;4052,2318;;00:02:30;851;1;;00:00:52;313;0;;
23:11;;00:00:59;415;4106,2349;;00:05:19;1588;0;;00:02:47;674;0;;
23:11;;00:02:10;672;4064,2324;;00:02:10;672;1;;00:02:53;752;1;;
23:12;;00:01:09;618;4268,2442;;00:02:45;1260;1,0001;;00:04:24;1227;0;;
23:12;;00:00:47;182;4140,2368;;00:01:56;552;0;;00:01:56;552;0;;
23:13;;00:02:34;642;4113,2352;;00:04:22;867;0;;00:04:22;867;0;;
23:13;;00:00:10;71;4272,2444;;00:02:57;824;0;;00:00:10;71;1,0001;;
23:14;;00:01:34;582;4339,2481;;00:04:29;1987;0;;00:03:28;1300;0;;
23:14;;00:01:42;952;3991,2282;;00:02:19;969;0;;00:01:42;952;0;;

Aperte ENTER para finalizar..
