HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
14:35;;00:00:19;125;4088,2338;;00:01:42;567;2,0001;;00:01:42;567;1;;
14:36;;00:01:25;352;3651,2088;;00:06:25;2222;0;;00:01:45;436;0;;
14:36;;00:01:26;480;4309,2465;;00:02:43;656;0;;00:01:37;529;0;;
14:37;;00:00:47;247;3510,2008;;00:00:47;247;0;;00:00:51;262;0;;
14:37;;00:03:21;1348;3550,2031;;00:03:47;1398;0;;00:03:21;1348;0;;
14:38;;00:01:32;493;3574,2044;;00:01:52;590;0;;00:03:32;1051;0;;
14:39;;00:01:47;479;3531,202;;00:04:42;1521;0;;00:04:42;1521;0;;
14:39;;00:04:16;1158;3156,1805;;00:06:12;1994;0;;00:04:19;1333;0;;
14:40;;00:01:12;374;3598,2058;;00:05:11;1583;1,0001;;00:01:12;374;0;;
14:40;;00:01:21;420;3749,2144;;00:01:25;591;0;;00:02:15;878;1;;
14:41;;00:00:18;174;4128,2361;;00:00:18;174;0;;00:06:36;2085;0;;
14:41;;00:03:14;980;3616,2068;;00:03:14;980;1,0001;;00:05:43;1678;0;;
14:42;;00:00:26;94;4062,2324;;00:01:17;249;0;;00:00:26;94;0;;
14:42;;00:01:22;468;3458,1978;;00:05:25;1793;0;;00:02:33;685;0;;
14:43;;00:01:00;274;3787,2166;;00:02:43;913;0;;00:01:00;274;0;;
14:43;;00:01:13;565;3866,2212;;00:03:03;1052;0;;00:01:40;581;0;;
14:44;;00:00:00;0;3531,202;;00:01:44;726;0;;00:00:00;0;1,0001;;
14:45;;00:00:24;117;3440,1967;;00:02:29;695;0;;00:00:24;117;0;;
14:45;;00:00:33;247;3523,2015;;00:04:38;1540;1,0001;;00:00:33;247;0;;
14:46;;00:01:31;336;3481,1991;;00:05:08;1114;0;;00:01:31;336;0;;
14:46;;00:01:51;609;3447,1971;;00:01:51;609;0;;00:01:59;757;0;;
14:47;;00:02:17;810;3610,2064;;00:03:30;1446;0;;00:03:30;1446;0;;
14:47;;00:01:09;433;3567,204;;00:03:19;1336;1,0001;;00:01:09;433;0;;
14:48;;00:00:48;251;3534,2021;;00:03:38;1042;0;;00:00:48;251;0;;
14:48;;00:00:27;35;3457,1977;;00:00:27;35;0;;00:00:27;35;0;;
14:49;;00:00:10;89;3739,2138;;00:06:33;2047;0;;00:00:10;89;0;;
14:49;;00:00:28;149;3451,1974;;00:00:28;149;0;;00:00:28;149;1;;
14:50;;00:00:27;12;3495,1999;;00:03:21;1237;1,0001;;00:02:23;497;1;;
14:51;;00:00:25;130;3546,2028;;00:00:25;130;0;;00:00:45;255;0;;
14:51;;00:01:48;507;3322,19;;00:03:25;1105;0;;00:01:48;507;0;;
14:52;;00:03:04;919;3436,1966;;00:04:30;1337;0;;00:03:56;1129;1;;
14:52;;00:00:27;213;3655,2091;;00:05:23;1195;0;;00:03:26;880;0;;
14:53;;00:00:52;214;3401,1945;;00:01:38;657;0;;00:03:49;1113;0;;
14:53;;00:06:13;1773;1229,0703;;00:06:13;1773;0;;00:06:17;2260;1,0001;;
14:54;;00:02:18;553;3550,2031;;00:05:00;2008;0;;00:05:00;2008;0;;

Aperte ENTER para finalizar..
