HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
22:32;;00:03:19;1015;1329,076;;00:03:19;1015;2,0001;;00:03:19;1015;2,0001;;
22:32;;00:02:09;652;4345,2486;;00:06:47;2864;1,0001;;00:06:29;2970;0;;
22:33;;00:02:54;1031;4210,2408;;00:07:13;2652;0;;00:02:54;1031;0;;
22:33;;00:00:02;24;4375,2502;;00:02:30;613;0;;00:00:02;24;0;;
22:34;;00:01:12;358;4207,2407;;00:01:12;358;0;;00:01:12;358;0;;
22:34;;00:00:04;42;4314,2467;;00:01:32;376;0;;00:00:04;42;0;;
22:35;;00:04:17;1286;4029,2304;;00:04:48;2494;0;;00:04:48;2494;0;;
22:35;;00:00:57;114;4235,2423;;00:05:28;1711;0;;00:00:57;114;0;;
22:36;;00:00:00;0;4325,2474;;00:00:00;0;0;;00:00:00;0;0;;
22:36;;00:02:25;629;1885,1078;;00:07:11;2018;0;;00:02:25;629;0;;
22:37;;00:01:42;518;4099,2345;;00:03:12;931;1;;00:01:42;518;1;;
22:38;;00:02:43;1199;4076,2332;;00:05:02;2877;1,0001;;00:02:43;1199;0;;
22:38;;00:00:02;10;4485,2566;;00:02:59;976;0;;00:00:02;10;0;;
22:39;;00:01:38;617;4299,2459;;00:06:18;2016;0;;00:05:15;1949;0;;
22:39;;00:02:01;560;2531,1448;;00:06:07;2166;0;;00:02:01;560;0;;
22:40;;00:01:35;392;4294,2456;;00:03:53;1424;0;;00:05:08;1832;0;;
22:41;;00:00:37;176;3931,2249;;00:00:37;176;0;;00:00:37;176;0;;
22:41;;00:03:14;1101;4372,2501;;00:04:31;1302;0;;00:03:14;1101;0;;
22:42;;00:02:55;896;1894,1084;;00:02:55;896;0;;00:03:27;1044;0;;
22:42;;00:00:00;0;3899,2231;;00:03:47;1161;0;;00:00:00;0;0;;
22:43;;00:03:16;1111;1357,0776;;00:03:16;1111;0;;00:03:16;1111;0;;
22:43;;00:03:39;1359;4391,2512;;00:03:39;1359;0;;00:05:44;1810;1,0001;;
22:44;;00:01:15;375;4077,2333;;00:01:15;375;1,0001;;00:01:15;375;1;;
22:44;;00:01:28;375;1957,1119;;00:02:52;1356;1,0001;;00:01:28;375;0;;
22:45;;00:01:14;382;4036,2308;;00:01:30;347;0;;00:01:14;382;0;;
22:45;;00:01:29;433;4119,2356;;00:03:38;1486;1,0001;;00:01:29;433;0;;
22:46;;00:02:33;626;1356,0776;;00:04:27;1386;0;;00:02:33;626;0;;
22:46;;00:00:08;68;4384,2508;;00:03:55;1278;0;;00:00:08;68;0;;
22:47;;00:00:39;190;4026,2303;;00:01:19;429;0;;00:01:19;429;1,0001;;
22:47;;00:00:55;296;4159,2379;;00:00:55;296;0;;00:00:55;296;0;;

Aperte ENTER para finalizar..
