HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
21:36;;00:02:58;1043;4689,2682;;00:03:23;1069;2,0001;;00:03:33;1016;1,0001;;
21:37;;00:02:22;1099;4277,2446;;00:03:12;1330;0;;00:03:01;726;0;;
21:37;;00:02:37;798;2499,1429;;00:03:59;1147;0;;00:03:21;979;1;;
21:38;;00:01:11;406;4301,2461;;00:01:15;434;0;;00:04:12;1156;1,0001;;
21:38;;00:01:45;608;4123,2358;;00:06:41;2391;0;;00:06:49;2464;0;;
21:39;;00:02:03;591;4547,2601;;00:03:01;730;0;;00:03:01;730;1;;
21:39;;00:01:16;402;4037,2309;;00:01:38;557;0;;00:01:38;557;0;;
21:40;;00:00:36;168;4074,233;;00:03:35;879;0;;00:00:36;168;1,0001;;
21:40;;00:01:19;454;4250,2431;;00:02:58;910;0;;00:01:19;454;1;;
21:41;;00:00:00;0;4115,2354;;00:01:46;418;1;;00:00:00;0;0;;
21:42;;00:02:06;634;4316,2469;;00:05:27;2349;0;;00:02:06;634;0;;
21:42;;00:01:19;405;4179,239;;00:01:48;528;0;;00:01:53;581;0;;
21:43;;00:00:00;0;4291,2455;;00:00:50;331;0;;00:00:00;0;0;;
21:43;;00:01:05;321;4142,2369;;00:01:20;369;0;;00:01:20;369;0;;
21:44;;00:01:41;556;3722,2129;;00:06:05;2284;0;;00:05:43;2054;0;;
21:44;;00:02:38;990;4365,2497;;00:04:38;1603;0;;00:04:38;1603;0;;
21:45;;00:00:32;173;4035,2308;;00:01:06;380;0;;00:02:11;662;1,0001;;
21:45;;00:01:08;281;4078,2333;;00:01:08;281;0;;00:01:08;281;0;;
21:46;;00:01:59;489;4466,2554;;00:04:03;1144;0;;00:01:59;489;1,0001;;
21:46;;00:00:45;262;4093,2341;;00:04:18;1330;0;;00:00:58;304;0;;
21:47;;00:01:52;522;4227,2418;;00:07:46;2839;0;;00:07:46;2839;0;;
21:47;;00:02:49;1507;4053,2319;;00:02:55;1342;0;;00:02:55;1342;1,0001;;
21:48;;00:01:33;418;2450,1402;;00:04:47;1485;0;;00:01:33;418;0;;
21:49;;00:02:29;579;4270,2442;;00:04:56;1674;0;;00:02:45;739;1;;
21:49;;00:00:00;0;3989,2282;;00:03:07;802;1,0001;;00:00:00;0;0;;
21:50;;00:01:40;852;4339,2482;;00:04:46;1446;0;;00:04:51;1680;0;;
21:50;;00:00:42;218;3872,2215;;00:01:47;649;1,0001;;00:00:42;218;0;;
21:51;;00:02:11;775;4216,2412;;00:02:11;775;0;;00:02:11;775;0;;
21:52;;00:00:39;168;4178,239;;00:00:39;168;1,0001;;00:00:39;168;0;;
21:52;;00:00:00;0;3914,2238;;00:00:24;131;0;;00:00:00;0;0;;

Aperte ENTER para finalizar..
