HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
19:33;;00:00:54;494;5154,2948;;00:03:18;1232;2,0001;;00:03:18;876;1,0001;;
19:33;;00:01:56;640;4292,2455;;00:06:45;2120;1;;00:02:49;802;1;;
19:33;;00:03:42;918;4190,2397;;00:01:03;444;0;;00:01:02;432;0;;
19:34;;00:01:56;611;2735,1565;;00:01:56;611;0;;00:03:39;834;1,0001;;
19:34;;00:00:37;293;4193,2398;;00:02:52;695;1;;00:01:00;211;0;;
19:35;;00:00:37;155;4489,2567;;00:02:05;624;0;;00:01:40;524;0;;
19:36;;00:02:42;1210;4031,2306;;00:06:31;2349;1;;00:02:55;1342;0;;
19:36;;00:00:03;18;4242,2426;;00:03:22;1440;0;;00:00:03;18;0;;
19:37;;00:00:09;21;4077,2332;;00:01:56;431;1;;00:01:36;510;0;;
19:37;;00:00:05;33;3695,2114;;00:00:05;33;0;;00:00:05;33;0;;
19:38;;00:02:14;799;3923,2244;;00:04:17;1308;1,0001;;00:03:32;960;0;;
19:38;;00:01:58;491;4230,242;;00:02:39;650;0;;00:03:01;859;0;;
19:39;;00:01:45;539;2234,1278;;00:06:18;2823;0;;00:03:24;1128;0;;
19:39;;00:01:06;381;4082,2335;;00:06:33;3328;0;;00:01:06;381;0;;
19:40;;00:02:30;696;4015,2297;;00:06:31;2049;1;;00:02:35;731;0;;
19:40;;00:03:17;1181;1830,1047;;00:05:34;2088;0;;00:03:17;1181;0;;
19:41;;00:01:08;265;3874,2216;;00:02:30;730;0;;00:01:08;265;0;;
19:41;;00:01:04;430;4176,2389;;00:01:55;838;1,0001;;00:01:55;838;0;;
19:42;;00:02:51;930;3884,2221;;00:04:00;1662;0;;00:04:47;1582;0;;
19:43;;00:01:16;342;4051,2318;;00:04:03;1031;0;;00:01:32;479;1,0001;;
19:43;;00:00:55;313;3886,2223;;00:05:15;1427;0;;00:00:55;313;0;;
19:44;;00:01:28;519;3794,217;;00:01:42;395;0;;00:02:10;828;0;;
19:44;;00:04:53;1556;4018,2299;;00:06:32;1914;0;;00:04:59;1732;1,0001;;
19:45;;00:02:02;647;3705,212;;00:02:11;809;0;;00:02:52;920;0;;
19:45;;00:02:35;690;3966,2269;;00:02:49;785;0;;00:02:37;947;0;;
19:46;;00:00:24;122;3823,2187;;00:00:53;341;0;;00:00:24;122;1,0001;;
19:47;;00:00:22;151;3891,2226;;00:05:18;1685;0;;00:00:22;151;0;;
19:47;;00:00:18;128;3720,2127;;00:02:57;1101;0;;00:00:18;128;0;;
19:48;;00:00:09;57;3741,214;;00:00:09;57;1,0001;;00:00:09;57;0;;
19:48;;00:02:33;721;1926,1101;;00:06:07;2518;1,0001;;00:02:44;901;1,0001;;

Aperte ENTER para finalizar..
