HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
20:07;;00:02:51;704;3932,2249;;00:03:01;1003;2,0001;;00:04:17;1546;1;;
20:07;;00:02:48;904;2656,1519;;00:03:01;957;1;;00:03:01;957;0;;
20:08;;00:01:46;541;3957,2264;;00:02:26;795;1,0001;;00:01:46;541;0;;
20:08;;00:00:21;141;4234,2421;;00:01:47;438;0;;00:01:57;508;0;;
20:09;;00:00:31;201;3894,2227;;00:00:31;201;1;;00:00:31;201;0;;
20:09;;00:04:19;689;1914,1094;;00:06:26;1209;0;;00:06:26;1209;0;;
20:10;;00:01:42;424;4127,236;;00:02:34;883;0;;00:01:42;424;0;;
20:10;;00:01:34;503;4209,2408;;00:03:01;807;0;;00:01:34;503;0;;
20:11;;00:01:01;302;3952,2261;;00:03:04;688;0;;00:02:04;625;0;;
20:11;;00:00:46;342;4198,2401;;00:02:45;755;0;;00:00:46;342;0;;
20:12;;00:01:01;300;4145,2371;;00:01:51;991;0;;00:01:01;300;0;;
20:12;;00:00:54;164;4215,2411;;00:01:47;407;0;;00:02:50;718;0;;
20:13;;00:00:13;48;4039,231;;00:00:13;48;0;;00:00:13;48;0;;
20:14;;00:00:15;171;4067,2326;;00:00:49;298;1;;00:02:45;1045;0;;
20:14;;00:02:31;725;4249,243;;00:03:15;867;1;;00:03:17;772;1,0001;;
20:15;;00:02:41;827;4208,2406;;00:02:49;901;0;;00:02:49;901;0;;
20:15;;00:02:29;917;3387,1937;;00:05:08;1560;0;;00:03:34;1073;0;;
20:16;;00:05:10;2226;3873,2215;;00:07:19;2724;0;;00:07:20;4733;0;;
20:16;;00:00:27;128;4173,2387;;00:03:47;1151;1,0001;;00:00:27;128;0;;
20:17;;00:00:03;18;3931,2248;;00:00:03;18;0;;00:00:03;18;0;;
20:18;;00:01:23;511;3846,22;;00:03:25;1274;0;;00:02:38;996;0;;
20:18;;00:01:05;345;3809,2178;;00:03:25;1155;0;;00:13:01;7267;0;;
20:19;;00:01:30;488;4119,2357;;00:02:34;712;0;;00:01:30;488;0;;
20:19;;00:00:43;291;3946,2257;;00:02:48;1116;0;;00:00:44;293;0;;
20:20;;00:00:46;367;3962,2266;;00:03:21;1311;0;;00:00:47;293;0;;
20:20;;00:01:52;820;3971,2272;;00:02:43;599;0;;00:03:20;837;0;;
20:21;;00:02:28;815;2846,1628;;00:05:50;2085;1;;00:02:28;815;1,0001;;
20:21;;00:00:56;325;3706,212;;00:01:08;374;0;;00:00:56;325;1;;
20:22;;00:00:53;272;4163,2382;;00:00:53;272;0;;00:02:46;776;0;;
20:22;;00:00:10;25;3734,2136;;00:01:49;516;0;;00:00:10;25;0;;

Aperte ENTER para finalizar..
