HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
20:35;|;00:01:25;456;6431,3678;;00:04:38;1366;3,0001;;00:01:25;456;2,0001;;
20:36;|;00:00:26;139;5609,3209;;00:01:40;537;0;;00:00:26;139;0;;
20:36;|;00:00:47;265;5540,3169;;00:00:47;265;0;;00:00:56;299;0;;
20:37;|;00:01:40;424;6030,3449;;00:02:17;676;0;;00:02:58;695;0;;
20:37;|;00:00:13;87;12162,6957;;00:04:18;1220;0;;00:00:13;87;0;;
20:38;|;00:01:13;287;7056,4036;;00:02:12;1345;0;;00:01:13;287;0;;
20:38;|;00:02:47;1032;5537,3167;;00:03:43;1111;0;;00:03:43;1111;0;;
20:39;|;00:01:37;492;5711,3267;;00:01:53;644;0;;00:01:53;644;0;;
20:40;|;00:00:24;274;9064,5185;;00:03:44;1507;0;;00:03:25;1400;1,0001;;
20:40;|;00:01:32;468;6366,3641;;00:01:53;701;1,0001;;00:02:17;676;0;;
20:41;|;00:00:07;49;5443,3113;;00:00:57;266;0;;00:00:07;49;0;;
20:41;|;00:02:39;991;7271,4159;;00:04:43;1666;0;;00:03:52;1183;0;;
20:42;|;00:01:32;525;5454,312;;00:04:34;1802;0;;00:01:32;525;0;;
20:43;|;00:02:19;678;7281,4164;;00:02:19;678;0;;00:02:30;769;1,0001;;
20:43;|;00:02:16;501;9527,545;;00:02:30;505;0;;00:02:31;541;0;;
20:44;|;00:09:36;2105;3043,1741;;00:09:36;2105;0;;00:09:36;2105;0;;
20:44;|;00:00:53;678;6158,3522;;00:05:09;2014;0;;00:02:22;892;0;;
20:45;|;00:01:04;357;9457,5409;;00:03:08;861;0;;00:01:04;357;0;;
20:45;|;00:01:22;491;9586,5484;;00:03:39;1261;0;;00:01:22;491;0;;
20:46;|;00:01:08;269;5832,3336;;00:02:09;730;0;;00:02:07;584;0;;
20:46;|;00:01:11;245;7344,4201;;00:04:01;1270;0;;00:01:11;245;0;;
20:47;|;00:01:28;406;5946,3401;;00:06:19;3327;0;;00:01:43;776;0;;
20:47;|;00:02:52;710;8939,5113;;00:04:10;1087;0;;00:02:52;710;0;;
20:48;|;00:01:05;228;6736,3853;;00:03:33;762;0;;00:02:05;392;0;;
20:48;|;00:02:47;912;8710,4982;;00:04:25;1408;0;;00:02:47;912;0;;
20:49;|;00:02:10;928;7696,4402;;00:05:14;2199;0;;00:04:34;2009;0;;
20:49;|;00:01:05;495;6485,3709;;00:04:20;1365;0;;00:01:48;395;0;;
20:50;|;00:03:29;1342;1095,0627;;00:03:29;1342;1;;00:03:29;1342;0;;
20:50;|;00:01:47;560;7506,4293;;00:02:19;660;0;;00:02:19;660;0;;
20:51;|;00:00:10;2;6093,3485;;00:00:42;496;0;;00:00:10;2;0;;
20:52;|;00:00:57;283;5416,3098;;00:02:24;678;1;;00:01:35;489;0;;
20:52;|;00:01:32;341;6283,3593;;00:05:24;1617;0;;00:01:41;452;0;;

Aperte ENTER para finalizar..
