HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
22:10;;00:00:24;96;4993,2856;;00:00:24;96;2,0002;;00:01:18;335;1;;
22:11;;00:02:54;1049;4174,2388;;00:04:29;1807;0;;00:04:03;1489;0;;
22:11;;00:00:06;67;4401,2518;;00:03:16;967;0;;00:00:06;67;0;;
22:12;;00:00:49;281;3994,2284;;00:03:20;748;0;;00:00:49;281;0;;
22:13;;00:00:50;382;4085,2336;;00:06:41;2775;0;;00:02:23;545;0;;
22:13;;00:00:22;154;3956,2263;;00:00:35;308;1,0001;;00:00:22;154;0;;
22:14;;00:01:07;573;4030,2305;;00:01:07;573;0;;00:02:01;727;0;;
22:14;;00:06:14;2329;4196,24;;00:06:28;2385;0;;00:07:36;3375;0;;
22:15;;00:00:28;146;3874,2216;;00:02:09;680;0;;00:00:28;146;0;;
22:15;;00:00:00;0;4129,2362;;00:00:02;13;0;;00:00:00;0;0;;
22:16;;00:00:54;494;3866,2211;;00:02:59;1105;0;;00:02:00;494;0;;
22:16;;00:01:15;500;4034,2308;;00:02:28;866;0;;00:02:33;782;0;;
22:17;;00:01:14;390;3914,2239;;00:02:00;691;0;;00:02:00;691;0;;
22:17;;00:00:28;133;3973,2273;;00:02:18;674;0;;00:02:18;674;0;;
22:18;;00:02:15;903;3961,2266;;00:04:29;1763;0;;00:02:15;903;0;;
22:18;;00:06:01;2634;1890,1081;;00:06:18;1991;0;;00:07:18;2155;0;;
22:19;;00:02:29;1043;3894,2228;;00:02:29;1043;0;;00:05:03;2341;0;;
22:20;;00:03:24;1162;4146,2371;;00:05:42;1663;0;;00:03:24;1162;0;;
22:20;;00:01:48;558;4181,2391;;00:04:04;1140;0;;00:02:41;610;1,0001;;
22:21;;00:00:00;0;3653,2089;;00:05:17;2300;1,0001;;00:02:32;638;0;;
22:21;;00:03:23;1221;4054,2318;;00:05:49;2500;0;;00:06:34;2356;0;;
22:22;;00:03:58;1238;832,0476;;00:03:58;1238;0;;00:03:58;1238;0;;
22:23;;00:01:39;561;5007,2864;;00:03:18;859;0;;00:03:29;1315;0;;
22:23;;00:02:06;616;4576,2618;;00:03:10;1034;0;;00:02:34;800;0;;
22:24;;00:06:03;2228;784,0448;;00:06:03;2228;1;;00:06:03;2228;0;;
22:24;;00:01:51;1116;4008,2293;;00:03:29;1527;0;;00:03:44;1680;1,0001;;
22:25;;00:01:18;243;4104,2348;;00:01:18;243;1;;00:02:32;638;0;;
22:25;;00:02:30;709;3914,2239;;00:03:27;960;0;;00:04:02;1263;0;;
22:26;;00:02:43;914;3943,2255;;00:04:47;1403;0;;00:04:05;2156;0;;
22:26;;00:00:09;72;3896,2228;;00:03:45;843;0;;00:00:09;72;0;;
22:27;;00:02:47;714;4102,2347;;00:07:42;3196;0;;00:07:12;3055;0;;
22:27;;00:00:41;191;3949,2259;;00:06:50;2105;0;;00:00:41;191;0;;

Aperte ENTER para finalizar..
