HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
00:05;;00:00:38;201;4882,2792;;00:03:44;1387;3,0002;;00:00:38;201;2,0001;;
00:06;;00:02:38;641;2876,1645;;00:03:08;1034;0;;00:02:38;641;0;;
00:06;;00:02:54;865;4148,2373;;00:04:35;1419;0;;00:03:43;1164;0;;
00:07;;00:00:46;317;3968,227;;00:00:46;317;0;;00:00:46;317;0;;
00:07;;00:03:14;931;1869,1069;;00:03:20;859;0;;00:03:14;931;0;;
00:08;;00:01:40;461;4047,2315;;00:02:52;692;0;;00:02:52;692;0;;
00:09;;00:00:27;122;3983,2279;;00:01:00;335;0;;00:00:27;122;1;;
00:09;;00:01:39;494;3837,2195;;00:02:21;625;0;;00:01:39;494;0;;
00:10;;00:00:26;7;2445,1398;;00:02:19;723;0;;00:00:26;7;0;;
00:10;;00:00:58;295;3808,2178;;00:01:35;605;0;;00:00:58;295;1;;
00:11;;00:02:57;1055;4020,2299;;00:04:16;1175;0;;00:04:16;1126;0;;
00:11;;00:00:22;254;3996,2286;;00:04:16;1557;0;;00:01:38;390;0;;
00:12;;00:03:52;1307;4225,2417;;00:04:19;1371;0;;00:06:18;2016;1,0001;;
00:12;;00:00:57;735;4009,2293;;00:03:54;2036;1;;00:03:54;2036;0;;
00:13;;00:00:56;330;3877,2217;;00:04:27;1535;0;;00:00:57;295;0;;
00:13;;00:04:46;2021;4265,244;;00:05:13;2858;1;;00:08:03;5522;0;;
00:14;;00:00:06;50;3647,2086;;00:00:06;50;0;;00:00:06;50;0;;
00:14;;00:03:05;934;4161,238;;00:05:51;1827;1;;00:03:05;934;0;;
00:15;;00:01:38;477;3392,194;;00:02:48;866;0;;00:01:38;477;0;;
00:15;;00:01:27;573;3940,2254;;00:06:14;2495;0;;00:03:16;1321;0;;
00:16;;00:00:56;294;3874,2216;;00:01:47;623;0;;00:00:56;294;0;;
00:17;;00:01:16;418;3861,2208;;00:01:16;418;0;;00:01:59;577;0;;
00:17;;00:00:43;139;4133,2364;;00:02:25;586;0;;00:00:43;139;0;;
00:18;;00:02:09;723;4129,2362;;00:08:33;3123;0;;00:03:34;1052;0;;
00:18;;00:02:33;704;4206,2406;;00:03:49;1455;1,0001;;00:02:33;704;0;;
00:19;;00:02:20;616;4082,2335;;00:06:08;1912;0;;00:03:10;960;0;;
00:20;;00:01:04;292;3956,2263;;00:01:54;386;0;;00:02:54;768;0;;
00:20;;00:00:38;195;3832,2192;;00:02:44;897;0;;00:00:38;195;0;;
00:21;;00:01:32;564;3857,2206;;00:01:53;582;0;;00:01:53;582;0;;
00:21;;00:02:28;856;3915,224;;00:04:40;1369;0;;00:02:50;1026;0;;

Aperte ENTER para finalizar..
