HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
17:12;|;00:02:45;911;1655,0946;;00:02:45;911;3,0002;;00:05:04;1394;2,0002;;
17:12;|;00:01:00;213;2472,1414;;00:03:44;1100;0;;00:01:00;213;0;;
17:13;|;00:00:21;98;3205,1833;;00:00:21;98;0;;00:00:44;205;0;;
17:13;|;00:02:29;535;3159,1807;;00:06:20;2427;0;;00:03:10;942;0;;
17:14;|;00:02:19;621;3876,2218;;00:04:21;968;0;;00:04:30;1041;0;;
17:14;|;00:01:09;415;3267,1869;;00:02:28;846;0;;00:01:09;415;0;;
17:15;|;00:00:43;250;2981,1705;;00:02:04;617;0;;00:00:43;250;0;;
17:15;|;00:00:45;150;3415,1953;;00:01:12;302;1,0001;;00:02:33;541;1,0001;;
17:16;|;00:00:36;107;3142,1797;;00:03:12;1013;0;;00:03:05;688;0;;
17:17;|;00:02:51;772;3266,1869;;00:04:45;1642;0;;00:03:29;937;0;;
17:17;|;00:01:29;520;3016,1726;;00:07:21;2683;0;;00:01:29;520;0;;
17:18;|;00:02:21;631;3265,1867;;00:02:49;739;0;;00:03:05;934;0;;
17:18;|;00:02:38;592;3232,1849;;00:06:26;3361;0;;00:02:38;592;0;;
17:19;|;00:02:17;773;3332,1906;;00:05:12;1513;0;;00:03:10;855;0;;
17:20;|;00:02:33;980;3094,177;;00:04:17;1436;0;;00:03:42;1032;0;;
17:20;|;00:01:35;427;3171,1814;;00:03:08;1059;0;;00:01:35;427;0;;
17:21;|;00:00:59;275;3461,198;;00:03:42;1514;1;;00:00:59;275;0;;
17:21;|;00:01:45;525;3120,1785;;00:01:45;525;0;;00:01:50;495;1,0001;;
17:22;|;00:00:44;248;3135,1793;;00:05:40;1921;1;;00:00:44;248;0;;
17:23;|;00:02:49;877;3099,1772;;00:03:19;849;0;;00:02:49;877;0;;
17:23;|;00:00:35;101;3171,1814;;00:00:35;101;1;;00:00:35;101;0;;
17:24;|;00:01:17;259;3107,1778;;00:01:27;287;0;;00:02:02;529;0;;
17:24;|;00:01:51;328;3361,1922;;00:02:53;621;1,0001;;00:02:15;454;0;;
17:25;|;00:02:55;941;3144,1799;;00:06:01;1614;1,0001;;00:06:19;1601;1,0001;;
17:25;|;00:00:38;171;2337,1337;;00:02:00;613;0;;00:00:38;171;0;;
17:26;|;00:01:22;373;3100,1773;;00:01:22;373;0;;00:05:47;2216;0;;
17:26;|;00:01:12;389;3166,1811;;00:01:12;389;0;;00:01:37;568;0;;
17:27;|;00:02:04;529;3183,182;;00:02:04;529;0;;00:03:28;929;0;;
17:27;|;00:02:35;1328;2787,1594;;00:02:35;1328;0;;00:04:30;1603;1,0001;;
17:28;|;00:00:11;75;3146,18;;00:01:40;634;0;;00:00:11;75;0;;
17:29;|;00:02:29;480;3423,1958;;00:05:19;1254;0;;00:02:29;480;0;;
17:29;|;00:02:50;903;1610,0921;;00:02:50;903;0;;00:02:50;903;0;;

Aperte ENTER para finalizar..
