HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
18:37;|;00:00:40;193;3514,201;;00:01:14;404;2,0001;;00:00:45;213;2,0001;;
18:38;|;00:00:57;226;5105,292;;00:00:57;226;0;;00:03:12;989;1;;
18:38;|;00:01:28;471;3585,205;;00:05:31;1880;0;;00:05:59;2531;0;;
18:39;|;00:00:55;383;3438,1966;;00:03:09;1242;0;;00:00:55;383;0;;
18:39;|;00:03:06;921;3516,2012;;00:03:28;1373;0;;00:03:28;1373;0;;
18:40;|;00:00:07;74;3692,2112;;00:00:07;74;0;;00:03:58;1089;0;;
18:40;|;00:02:12;659;3504,2005;;00:02:19;711;1,0001;;00:02:12;659;0;;
18:41;|;00:00:58;448;3494,1998;;00:04:32;1797;0;;00:00:58;448;0;;
18:41;|;00:00:52;200;3738,2138;;00:03:05;855;0;;00:04:27;1096;0;;
18:42;|;00:02:17;739;4404,2519;;00:06:46;2165;0;;00:02:17;739;0;;
18:42;|;00:03:27;1574;3468,1983;;00:05:34;1887;0;;00:05:34;1887;0;;
18:43;|;00:03:25;850;3563,2038;;00:05:39;1345;0;;00:05:39;1345;1;;
18:44;|;00:02:56;952;3550,2031;;00:03:41;982;0;;00:03:41;982;0;;
18:44;|;00:00:00;0;3457,1978;;00:04:11;1588;0;;00:00:00;0;0;;
18:45;|;00:04:04;1410;3029,1733;;00:04:33;1763;0;;00:04:04;1410;0;;
18:45;|;00:03:33;1780;3492,1997;;00:06:44;2864;0;;00:03:33;1780;1,0001;;
18:46;|;00:00:00;0;3303,189;;00:01:55;546;0;;00:00:00;0;0;;
18:46;|;00:03:12;981;1519,0869;;00:05:52;2498;0;;00:03:12;981;0;;
18:47;|;00:01:01;356;3233,1849;;00:01:01;356;0;;00:02:29;651;0;;
18:47;|;00:02:21;460;3774,2159;;00:02:46;702;0;;00:02:46;702;1;;
18:48;|;00:02:17;565;3268,1869;;00:02:17;565;0;;00:02:17;565;0;;
18:48;|;00:00:00;0;3212,1837;;00:04:15;1613;0;;00:00:00;0;0;;
18:49;|;00:00:00;0;3213,1838;;00:04:18;2182;0;;00:07:59;2376;0;;
18:49;|;00:03:17;1358;3198,183;;00:04:04;1571;0;;00:04:48;2030;0;;
18:50;|;00:04:11;1366;3191,1825;;00:04:11;1366;0;;00:06:30;3304;0;;
18:51;|;00:01:02;334;3025,1731;;00:01:02;334;0;;00:01:02;334;0;;
18:51;|;00:02:48;918;1983,1134;;00:03:06;1171;0;;00:03:06;1171;0;;
18:52;|;00:02:02;1104;3292,1883;;00:04:10;1571;1,0001;;00:07:20;2452;0;;
18:52;|;00:00:58;276;3202,1832;;00:00:58;276;0;;00:00:58;276;0;;
18:53;|;00:03:31;1392;1148,0657;;00:03:31;1392;0;;00:07:10;2423;0;;
18:53;|;00:00:49;254;3232,1849;;00:02:38;735;0;;00:00:58;309;0;;
18:54;|;00:02:07;690;3032,1735;;00:04:58;1772;0;;00:02:07;690;0;;

Aperte ENTER para finalizar..
