HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
01:09;;00:01:11;459;4565,2612;;00:02:47;737;2,0002;;00:02:47;737;2,0001;;
01:09;;00:01:12;416;4033,2307;;00:02:45;828;0;;00:01:12;416;1;;
01:10;;00:01:19;433;4009,2293;;00:02:17;643;0;;00:01:19;433;0;;
01:10;;00:02:01;721;4033,2307;;00:03:14;1028;0;;00:02:01;721;0;;
01:11;;00:01:00;721;4065,2326;;00:04:22;2132;0;;00:01:00;721;0;;
01:11;;00:00:49;292;4081,2334;;00:01:14;399;0;;00:01:13;387;0;;
01:12;;00:01:41;470;4074,233;;00:06:00;1618;1;;00:02:55;913;0;;
01:13;;00:03:05;1119;3111,1779;;00:05:15;2187;0;;00:05:15;2187;0;;
01:13;;00:01:39;598;4002,2289;;00:02:01;736;1,0001;;00:01:39;598;0;;
01:14;;00:01:15;283;4341,2483;;00:02:37;669;0;;00:03:16;718;0;;
01:14;;00:01:57;630;873,0499;;00:01:57;630;0;;00:01:57;630;0;;
01:15;;00:00:51;257;1293,0739;;00:04:22;1953;0;;00:00:51;257;1;;
01:16;;00:00:33;272;3960,2266;;00:03:16;965;0;;00:00:33;272;0;;
01:16;;00:02:48;927;3024,173;;00:06:13;1933;0;;00:02:48;927;0;;
01:17;;00:01:37;536;4145,2371;;00:03:18;1071;0;;00:01:37;536;0;;
01:17;;00:01:56;380;4301,246;;00:02:47;576;0;;00:01:56;380;0;;
01:18;;00:01:42;420;4077,2332;;00:04:18;1920;0;;00:03:51;1606;0;;
01:18;;00:02:02;754;4023,2301;;00:02:26;761;0;;00:02:26;761;0;;
01:19;;00:01:09;335;4217,2412;;00:01:09;335;0;;ERRO: OVER_QUERY_LIMIT
01:19;;ERRO: OVER_QUERY_LIMITERRO: OVER_QUERY_LIMITERRO: OVER_QUERY_LIMIT
01:20;;ERRO: OVER_QUERY_LIMITERRO: OVER_QUERY_LIMITERRO: OVER_QUERY_LIMIT
01:20;;01:21;;
