HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
18:12;|;00:00:42;210;3339,191;;00:01:35;504;2,0001;;00:01:35;504;2,0001;;
18:13;|;00:01:32;391;3970,227;;00:05:05;1623;1,0001;;00:01:32;391;0;;
18:13;|;00:02:04;524;5299,3032;;00:02:04;524;0;;00:04:11;1472;0;;
18:14;|;00:01:37;570;3157,1806;;00:02:22;754;0;;00:02:22;754;0;;
18:14;|;00:00:00;0;3261,1865;;00:05:00;1949;0;;00:05:00;1949;0;;
18:15;|;00:03:05;888;3235,185;;00:03:05;888;0;;00:03:54;1278;0;;
18:16;|;00:01:54;660;3154,1804;;00:02:26;736;0;;00:01:54;660;1,0001;;
18:16;|;00:00:00;0;3084,1765;;00:03:00;976;1,0001;;00:00:00;0;0;;
18:17;|;00:01:36;999;3017,1725;;00:03:18;1139;1;;00:03:18;1139;0;;
18:17;|;00:03:32;1108;2278,1303;;00:04:02;1264;0;;00:05:34;2650;0;;
18:18;|;00:02:04;363;4501,2574;;00:02:04;363;0;;00:02:31;1311;0;;
18:18;|;00:00:17;68;3099,1772;;00:01:48;558;0;;00:00:17;68;0;;
18:19;|;00:00:46;212;2337,1337;;00:05:51;1880;0;;00:00:46;212;0;;
18:19;|;00:01:33;482;3225,1845;;00:01:33;482;0;;00:05:18;2156;0;;
18:20;|;00:00:06;59;4002,2289;;00:02:48;725;0;;00:00:08;88;0;;
18:20;|;00:03:24;1365;2403,1375;;00:03:49;1504;0;;00:03:49;1504;0;;
18:21;|;00:01:26;408;3321,19;;00:05:23;2809;0;;00:05:23;2809;0;;
18:22;|;00:02:41;746;3976,2274;;00:03:01;849;1,0001;;00:03:01;849;0;;
18:22;|;00:02:41;748;3308,1892;;00:04:38;1517;0;;00:03:01;1266;0;;
18:23;|;00:02:19;663;3137,1795;;00:02:44;781;0;;00:02:44;781;0;;
18:23;|;00:04:45;1440;615,0352;;00:04:45;1440;0;;00:04:45;1440;0;;
18:24;|;00:01:32;487;3872,2215;;00:02:21;623;0;;00:05:02;1633;0;;
18:24;|;00:00:00;0;3164,181;;00:03:58;1432;1,0001;;00:00:00;0;0;;
18:25;|;00:01:34;418;3301,1889;;00:01:34;418;0;;00:01:34;418;0;;
18:25;|;00:00:51;254;3194,1827;;00:01:32;519;0;;00:00:51;254;0;;
18:26;|;00:00:48;283;3036,1736;;00:03:59;1211;1,0001;;00:02:25;901;1;;
18:26;|;00:01:37;474;4177,2389;;00:03:56;1320;0;;00:02:28;611;0;;
18:27;|;00:00:00;0;3055,1747;;00:05:29;2321;0;;00:00:00;0;0;;
18:28;|;00:01:01;223;3244,1855;;00:03:31;1311;0;;00:01:10;269;0;;
18:28;|;00:01:53;655;3222,1843;;00:06:10;2209;1;;00:04:20;1617;0;;
18:29;|;00:00:08;88;3206,1834;;00:00:08;88;1;;00:00:08;88;0;;
18:29;|;00:00:00;0;3114,1781;;00:02:41;785;0;;00:00:00;0;0;;

Aperte ENTER para finalizar..
