HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
00:26;;00:02:11;837;4735,2708;;00:03:08;1000;3,0002;;00:03:08;1000;1,0001;;
00:27;;00:01:19;683;4327,2475;;00:01:19;683;0;;00:01:48;942;0;;
00:27;;00:01:19;553;4195,2399;;00:03:51;1331;0;;00:01:35;482;0;;
00:28;;00:01:20;405;3934,2251;;00:01:45;573;0;;00:01:26;456;0;;
00:28;;00:00:25;124;3946,2257;;00:02:20;576;0;;00:00:25;124;0;;
00:29;;00:02:41;906;2907,1663;;00:06:20;2786;0;;00:02:41;906;0;;
00:30;;00:01:03;294;3844,2199;;00:01:19;376;1,0001;;00:01:03;294;0;;
00:30;;00:00:23;119;3865,2211;;00:01:00;304;0;;00:00:23;119;0;;
00:31;;00:01:01;379;4403,2519;;00:04:39;1153;0;;00:01:01;379;1;;
00:31;;00:02:14;748;4043,2312;;00:03:41;1529;1;;00:04:07;1097;0;;
00:32;;00:05:07;1526;3994,2285;;00:08:03;2569;0;;00:05:07;1526;0;;
00:33;;00:02:05;546;4040,2311;;00:02:05;546;0;;00:02:08;994;0;;
00:33;;00:01:16;422;4026,2303;;00:02:02;702;0;;00:02:08;676;0;;
00:34;;00:02:41;847;2306,1319;;00:03:56;1417;0;;00:03:00;1038;0;;
00:34;;00:00:42;310;4047,2315;;00:00:42;310;0;;00:04:18;1090;0;;
00:35;;00:01:18;491;4279,2447;;00:03:10;946;0;;00:01:18;491;0;;
00:35;;00:00:00;0;3826,2189;;00:05:28;1378;0;;00:02:04;559;0;;
00:36;;00:01:01;288;4097,2344;;00:02:15;729;0;;00:03:59;1621;0;;
00:36;;00:02:54;764;3952,2261;;00:04:53;1453;0;;00:04:53;1453;0;;
00:37;;00:01:42;459;3919,2242;;00:02:34;827;0;;00:01:42;459;0;;
00:37;;00:01:05;317;4071,2329;;00:05:32;1459;0;;00:01:05;317;0;;
00:38;;00:04:18;1319;3992,2283;;00:07:05;2402;0;;00:04:18;1319;1,0001;;
00:38;;00:01:29;574;4143,2369;;00:01:29;574;0;;00:01:29;574;0;;
00:39;;00:01:28;552;4100,2345;;00:03:58;1462;0;;00:04:38;1481;1;;
00:39;;00:01:45;448;3891,2226;;00:04:13;1161;0;;00:01:45;448;0;;
00:40;;00:02:34;705;3983,2278;;00:04:36;1379;0;;00:04:36;1379;0;;
00:41;;00:00:10;66;3939,2253;;00:04:09;2239;0;;00:00:10;66;0;;
00:41;;00:01:32;507;4073,233;;00:06:22;2161;0;;00:01:32;507;0;;
00:42;;00:02:06;886;3981,2277;;00:02:06;886;0;;00:03:13;738;0;;
00:42;;00:00:44;166;3874,2216;;00:01:38;390;0;;00:00:44;166;0;;

Aperte ENTER para finalizar..
