HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
16:50;|;00:02:48;897;4300,246;;00:03:52;1103;3,0002;;00:02:54;807;1,0001;;
16:50;|;00:02:10;620;5662,3239;;00:06:22;2155;1;;00:06:22;2155;0;;
16:51;|;00:02:57;874;3388,1938;;00:03:34;1231;0;;00:02:57;874;0;;
16:51;|;00:00:31;379;3363,1923;;00:01:57;489;0;;00:00:31;379;0;;
16:52;|;00:00:47;241;3401,1945;;00:03:24;975;1,0001;;00:00:47;241;1,0001;;
16:52;|;00:01:31;431;3545,2028;;00:01:31;431;1,0001;;00:01:31;431;0;;
16:53;|;00:01:15;388;3414,1953;;00:02:51;825;0;;00:02:36;804;0;;
16:53;|;00:05:28;1475;2505,1433;;00:05:49;2098;0;;00:05:28;1475;0;;
16:54;|;00:00:27;158;2863,1638;;00:05:04;1361;0;;00:00:48;242;0;;
16:55;|;00:00:07;61;3332,1905;;00:02:52;1072;0;;00:01:35;623;0;;
16:55;|;00:04:58;1870;1411,0807;;00:04:58;1870;0;;00:05:37;2153;0;;
16:56;|;00:00:51;193;3461,1979;;00:00:51;193;0;;00:02:40;622;0;;
16:56;|;00:01:50;681;3401,1945;;00:05:02;2076;1,0001;;00:05:38;2464;0;;
16:57;|;00:01:45;447;3480,1991;;00:04:56;1515;0;;00:01:45;447;0;;
16:57;|;00:01:20;388;2511,1437;;00:06:43;2924;0;;00:01:20;388;0;;
16:58;|;00:00:48;137;3526,2017;;00:02:09;626;0;;00:02:09;626;0;;
16:59;|;00:01:14;591;3435,1965;;00:01:42;531;0;;00:01:42;531;0;;
16:59;|;00:00:00;0;3293,1883;;00:00:00;0;0;;00:00:00;0;0;;
17:00;|;00:00:22;148;2618,1497;;00:03:31;1134;0;;00:00:22;148;0;;
17:00;|;00:01:48;528;3099,1773;;00:02:32;966;0;;00:01:48;528;0;;
17:01;|;00:00:25;340;3537,2023;;00:00:33;173;0;;00:00:33;173;1;;
17:01;|;00:02:22;597;3546,2029;;00:03:21;1046;0;;00:03:32;1199;0;;
17:02;|;00:00:30;171;3492,1998;;00:01:32;539;0;;00:00:30;171;1,0001;;
17:02;|;00:01:55;572;3520,2013;;00:02:21;657;1,0001;;00:01:55;572;1,0001;;
17:03;|;00:00:29;186;3586,2051;;00:04:07;1289;0;;00:03:24;1113;0;;
17:03;|;00:01:32;450;3470,1985;;00:01:32;450;0;;00:02:53;872;0;;
17:04;|;00:00:00;0;3484,1993;;00:00:00;0;0;;00:01:41;567;0;;
17:04;|;00:01:02;323;3413,1952;;00:01:49;500;0;;00:01:12;376;0;;
17:05;|;00:01:35;546;3563,2038;;00:02:23;981;0;;00:02:34;1089;0;;
17:06;|;00:01:18;496;3643,2084;;00:05:36;1883;0;;00:02:05;534;0;;
17:06;|;00:01:36;693;3652,2089;;00:04:09;1675;0;;00:02:00;817;0;;
17:07;|;00:02:22;785;3589,2053;;00:05:09;2202;0;;00:02:22;785;0;;

Aperte ENTER para finalizar..
