HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
18:29;;00:01:08;167;5584,3194;;00:02:52;1253;3,0002;;00:02:40;585;2,0001;;
18:29;;00:01:32;500;3335,1907;;00:03:15;845;0;;00:01:32;500;0;;
18:30;;00:03:02;1292;3524,2016;;00:03:02;1292;0;;00:03:36;1525;0;;
18:30;;00:02:02;702;3312,1894;;00:03:21;958;0;;00:03:21;958;0;;
18:31;;00:00:21;92;3262,1866;;00:00:31;128;1,0001;;00:00:21;92;0;;
18:31;;00:02:30;1129;3259,1864;;00:06:01;2508;0;;00:02:30;1129;0;;
18:32;;00:03:26;1091;3397,1943;;00:07:11;2325;0;;00:05:07;1685;0;;
18:32;;00:01:39;513;3203,1832;;00:01:39;513;0;;00:01:39;513;1,0001;;
18:33;;00:01:39;459;3282,1877;;00:01:44;489;0;;00:01:39;459;0;;
18:33;;00:00:51;259;3275,1873;;00:02:16;635;1,0001;;00:00:51;259;0;;
18:34;;00:03:34;1117;3532,202;;00:04:14;1713;0;;00:03:34;1117;0;;
18:34;;00:00:37;187;3275,1874;;00:00:39;199;0;;00:00:37;187;0;;
18:35;;00:01:08;362;3307,1891;;00:02:33;621;1,0001;;00:02:09;559;0;;
18:35;;00:00:32;168;3032,1735;;00:04:14;1033;1,0001;;00:05:09;1732;0;;
18:36;;00:01:27;371;3457,1978;;00:02:35;554;0;;00:01:29;385;0;;
18:36;;00:00:46;184;3345,1914;;00:01:16;389;0;;00:01:56;643;0;;
18:37;;00:01:01;293;3233,1849;;00:01:01;293;0;;00:01:01;293;0;;
18:38;;00:02:48;1028;3415,1954;;00:04:30;1369;0;;00:02:48;1028;0;;
18:38;;00:02:54;856;3336,1908;;00:03:58;1099;0;;00:03:25;1095;0;;
18:39;;00:01:51;722;3267,1869;;00:02:36;783;1;;00:06:39;2374;0;;
18:39;;00:00:41;286;3436,1965;;00:02:34;508;0;;00:00:41;286;0;;
18:40;;00:06:32;1751;3456,1977;;00:08:10;2107;0;;00:08:10;2107;0;;
18:41;;00:00:00;0;3327,1903;;00:02:51;613;0;;00:00:00;0;1;;
18:41;;00:00:00;0;3265,1868;;00:00:40;276;1,0001;;00:00:00;0;0;;
18:42;;00:02:38;756;2969,1699;;00:04:43;1768;0;;00:02:38;756;0;;
18:42;;00:01:24;372;3274,1872;;00:05:37;1425;0;;00:02:19;565;1;;
18:43;;00:01:44;484;3147,18;;00:06:28;2481;0;;00:01:44;484;0;;
18:43;;00:00:37;257;3361,1923;;00:03:18;900;0;;00:01:13;560;0;;
18:44;;00:00:30;206;3561,2037;;00:03:06;1042;0;;00:03:06;1042;0;;
18:44;;00:02:29;699;3304,189;;00:02:29;699;0;;00:02:30;699;0;;
18:45;;00:01:51;578;3415,1954;;00:05:44;2085;0;;00:01:51;578;0;;
18:45;;00:00:00;0;3286,188;;00:06:17;2200;0;;00:00:00;0;0;;
18:46;;00:00:41;164;3518,2012;;00:03:06;913;0;;00:02:38;742;0;;
18:46;;00:01:08;428;3239,1853;;00:02:36;813;0;;00:02:03;748;1;;
18:47;;00:01:16;205;3399,1944;;00:02:03;370;0;;00:01:16;205;0;;

Aperte ENTER para finalizar..
