HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
00:47;;00:01:34;541;4413,2525;;00:04:16;1424;2,0001;;00:02:12;576;2,0001;;
00:47;;00:02:26;1050;4081,2334;;00:04:51;1335;0;;00:04:33;1551;0;;
00:48;;00:01:51;545;4043,2312;;00:02:51;920;0;;00:02:40;749;0;;
00:48;;00:02:28;499;4113,2353;;00:02:32;664;0;;00:02:32;664;0;;
00:49;;00:00:58;414;4382,2507;;00:03:22;1149;0;;00:02:11;797;0;;
00:49;;00:01:16;415;3875,2216;;00:02:33;848;0;;00:01:16;415;0;;
00:50;;00:03:22;1063;4054,2319;;00:04:59;1212;0;;00:03:57;1039;0;;
00:51;;00:01:25;485;4332,2478;;00:03:46;1202;0;;00:02:38;876;1,0001;;
00:51;;00:01:26;376;2304,1318;;00:01:26;376;0;;00:01:26;376;0;;
00:52;;00:01:28;769;4047,2315;;00:04:53;1329;0;;00:04:11;1458;1;;
00:52;;00:01:06;267;3848,2201;;00:03:52;1076;0;;00:01:06;267;1;;
00:53;;00:02:19;926;4144,237;;00:05:41;2513;0;;00:03:49;1324;0;;
00:53;;00:01:08;414;3882,222;;00:01:42;592;0;;00:01:08;414;0;;
00:54;;00:00:46;342;3989,2281;;00:02:25;1009;0;;00:00:46;342;0;;
00:54;;00:00:04;49;3913,2238;;00:00:37;385;0;;00:00:04;49;0;;
00:55;;00:01:41;586;3768,2155;;00:02:23;918;0;;00:01:41;586;0;;
00:55;;00:01:15;265;2439,1395;;00:02:06;587;0;;00:01:15;265;0;;
00:56;;00:00:15;53;4010,2293;;00:00:15;53;0;;00:00:15;53;0;;
00:56;;00:02:00;628;4201,2403;;00:03:08;832;0;;00:03:17;839;0;;
00:57;;00:04:25;1661;4074,233;;00:06:41;2306;0;;00:05:21;1717;0;;
00:58;;00:01:48;460;4239,2425;;00:01:48;460;1,0001;;00:02:42;650;0;;
00:58;;00:03:57;1224;758,0433;;00:03:57;1224;0;;00:03:57;1224;0;;
00:59;;00:01:40;398;4163,2381;;00:02:33;591;1;;00:02:44;681;0;;
00:59;;00:00:37;212;2327,1331;;00:03:54;1254;0;;00:00:37;212;0;;
01:00;;00:01:24;546;3927,2246;;00:03:03;992;0;;00:02:03;615;0;;
01:00;;00:00:00;0;3829,219;;00:03:24;833;0;;00:00:00;0;1;;
01:01;;00:00:50;183;4016,2297;;00:01:33;382;1,0001;;00:01:33;382;0;;
01:01;;00:01:05;661;4063,2324;;00:01:37;437;0;;00:02:01;500;0;;
01:02;;00:00:52;265;773,0442;;00:00:52;265;0;;00:00:52;265;0;;
01:03;;00:00:46;281;4041,2312;;00:01:47;550;0;;00:03:03;771;0;;

Aperte ENTER para finalizar..
