HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
18:06;;00:03:52;1400;4046,2314;;00:04:49;1782;3,0002;;00:03:52;1400;3,0002;;
18:06;;00:01:46;660;3283,1878;;00:05:47;2500;0;;00:04:59;1669;0;;
18:07;;00:01:31;478;3294,1884;;00:02:47;920;0;;00:01:52;552;0;;
18:07;;00:01:18;429;3203,1832;;00:02:45;880;0;;00:01:18;429;0;;
18:08;;00:02:26;1260;3426,1959;;00:04:58;1666;0;;00:04:58;1666;0;;
18:09;;00:00:38;113;3432,1964;;00:04:05;1213;0;;00:00:38;113;0;;
18:09;;00:00:47;225;3468,1983;;00:01:58;574;1,0001;;00:03:56;1092;1;;
18:10;;00:02:53;861;3358,1921;;00:03:00;807;0;;00:03:40;1192;1;;
18:10;;00:03:05;1206;1556,089;;00:03:31;1195;0;;00:03:31;1195;0;;
18:11;;00:01:26;310;4384,2508;;00:05:23;1532;0;;00:01:26;310;0;;
18:12;;00:03:27;1232;2526,1445;;00:04:56;1431;0;;00:03:27;1232;0;;
18:12;;00:02:42;957;3289,1882;;00:02:43;820;0;;00:02:43;820;0;;
18:13;;00:00:43;277;3396,1942;;00:05:32;1599;0;;00:00:43;277;0;;
18:13;;00:01:30;567;3323,1901;;00:06:31;1980;1;;00:01:30;567;0;;
18:14;;00:01:53;768;3690,211;;00:04:21;1211;0;;00:01:53;768;0;;
18:14;;00:03:55;1175;2498,1429;;00:07:34;2644;1;;00:06:20;2196;1;;
18:15;;00:01:19;463;3312,1895;;00:03:32;1185;1,0001;;00:01:57;500;0;;
18:15;;00:02:04;499;3382,1935;;00:04:08;1251;0;;00:02:04;499;0;;
18:16;;00:04:25;1401;1060,0606;;00:04:25;1401;0;;00:04:30;1460;0;;
18:16;;00:02:06;843;1592,0911;;00:02:06;843;0;;00:02:06;843;0;;
18:17;;00:00:06;40;3413,1952;;00:05:37;1940;0;;00:00:06;40;1,0001;;
18:17;;00:01:37;493;3392,194;;00:01:37;493;0;;00:01:52;500;0;;
18:18;;00:01:49;657;3328,1903;;00:01:49;657;0;;00:03:19;947;0;;
18:18;;00:00:32;192;3296,1885;;00:01:50;695;1,0001;;00:00:36;192;0;;
18:19;;00:00:35;207;3447,1972;;00:02:55;730;0;;00:00:35;207;0;;
18:20;;00:01:36;433;2450,1401;;00:03:56;1370;0;;00:01:36;433;0;;
18:20;;00:02:27;507;4104,2347;;00:02:43;618;1,0001;;00:02:43;618;0;;
18:21;;00:00:44;248;3227,1846;;00:04:06;1416;1;;00:00:44;248;0;;
18:21;;00:01:16;837;3328,1904;;00:06:46;1318;1,0001;;00:03:23;1125;1,0001;;
18:22;;00:08:53;1957;676,0386;;00:08:53;1957;0;;00:08:53;1957;0;;
18:22;;00:01:15;279;3399,1944;;00:01:20;239;0;;00:04:18;1105;0;;
18:23;;00:01:58;638;3446,1971;;00:01:58;638;1,0001;;00:01:58;638;0;;
18:24;;00:02:17;1034;3413,1952;;00:06:42;2216;0;;00:04:44;1486;0;;
18:24;;00:02:45;947;3367,1926;;00:02:45;947;0;;00:02:45;947;0;;
18:25;;00:01:28;433;3208,1835;;00:01:58;636;0;;00:01:31;455;0;;

Aperte ENTER para finalizar..
