HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
17:23;;00:03:06;1148;3961,2266;;00:03:25;1225;3,0001;;00:06:30;2146;1;;
17:23;;00:01:43;561;3184,1822;;00:02:59;877;1,0001;;00:01:45;476;0;;
17:24;;00:01:12;249;3279,1876;;00:04:37;1249;0;;00:03:01;739;1;;
17:24;;00:03:10;985;2624,1501;;00:07:09;1961;0;;00:06:27;1899;1,0001;;
17:25;;00:01:35;545;3131,179;;00:01:35;545;0;;00:04:27;1435;0;;
17:25;;00:01:51;562;3028,1732;;00:02:38;943;0;;00:05:03;1848;0;;
17:26;;00:02:02;629;3062,1751;;00:06:14;2338;0;;00:04:11;1317;0;;
17:26;;00:01:38;390;3133,1792;;00:03:07;772;1;;00:01:49;596;0;;
17:27;;00:02:51;924;978,056;;00:03:02;977;0;;00:02:51;924;0;;
17:27;;00:01:05;342;3084,1764;;00:05:18;1924;1,0001;;00:01:05;342;1,0001;;
17:28;;00:00:39;120;3248,1858;;00:00:39;120;0;;00:00:39;120;0;;
17:29;;00:03:08;896;3290,1882;;00:03:57;946;0;;00:03:29;1237;0;;
17:29;;00:01:19;308;3168,1812;;00:04:27;1595;0;;00:01:19;308;0;;
17:30;;00:01:56;613;1011,0578;;00:01:56;613;1,0001;;00:02:02;662;1;;
17:30;;00:01:04;562;3287,188;;00:01:04;562;0;;00:02:21;948;0;;
17:31;;00:00:23;117;3168,1812;;00:01:40;483;1,0001;;00:00:23;117;0;;
17:32;;00:00:31;131;3061,1751;;00:02:56;807;1;;00:00:42;184;0;;
17:32;;00:05:00;1646;3165,181;;00:05:00;1646;0;;00:06:53;2432;0;;
17:33;;00:00:39;141;3137,1795;;00:01:25;324;0;;00:01:46;461;0;;
17:33;;00:01:11;232;3094,177;;00:05:48;1709;0;;00:03:28;1603;0;;
17:34;;00:02:29;876;3169,1812;;00:04:40;1351;0;;00:02:32;891;0;;
17:34;;00:02:43;802;569,0326;;00:02:43;802;0;;00:02:43;802;0;;
17:35;;00:06:31;2172;647,037;;00:06:31;2172;0;;00:06:31;2172;0;;
17:35;;00:00:08;39;3094,177;;00:00:56;337;0;;00:00:08;39;1;;
17:36;;00:01:48;649;3094,177;;00:04:07;1374;0;;00:05:59;1864;0;;
17:36;;00:00:45;263;3040,1739;;00:02:03;756;0;;00:02:23;981;0;;
17:37;;00:00:34;196;3090,1767;;00:02:15;834;0;;00:06:37;2433;0;;
17:37;;00:01:18;401;3030,1733;;00:02:50;959;0;;00:02:50;959;1,0001;;
17:38;;00:01:14;400;3214,1838;;00:02:50;859;0;;00:01:14;400;0;;
17:39;;00:01:28;417;3048,1743;;00:02:00;606;1,0001;;00:01:28;417;0;;
17:39;;00:00:51;256;3242,1855;;00:06:17;2007;0;;00:06:17;2007;0;;
17:40;;00:02:43;848;3104,1776;;00:07:32;2412;1;;00:02:43;848;0;;
17:40;;00:02:16;756;3305,1891;;00:02:50;757;0;;00:03:49;1196;0;;
17:41;;00:01:05;345;3028,1732;;00:04:45;1344;0;;00:01:39;466;0;;
17:41;;00:01:47;600;3146,18;;00:05:37;2100;0;;00:02:00;584;0;;

Aperte ENTER para finalizar..
