HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
05:21;;00:01:17;444;6613,3782;;00:06:36;2083;2,0001;;00:02:28;711;2,0002;;
05:21;;00:01:02;356;5819,3328;;00:04:55;1719;0;;00:01:02;356;0;;
05:22;;05:22;;00:00:21;104;28710,6422;;00:02:07;659;0;;00:01:41;469;11166,6387;;
00:01:41;469;0;;
00:03:38;1196;0;;00:01:41;469;0;;
05:23;;00:00:56;282;16957,97;;00:01:14;267;0;;00:02:31;803;0;;
05:23;;00:02:15;992;5281,302;;00:08:07;1983;0;;00:03:48;1002;0;;
05:24;;00:02:29;774;3558,2035;;00:03:20;1001;0;;00:02:29;774;0;;
05:24;;00:00:40;217;9691,5543;;00:00:40;217;0;;00:00:40;217;0;;
05:25;;05:25;;00:00:56;303;21469,228;;00:04:24;1454;0;;00:01:06;379;4076,2331;;0
0:01:06;379;0;;00:01:06;379;1,0001;;
00:01:47;527;0;;
05:26;;00:00:00;0;8534,4881;;00:00:00;0;1;;00:00:00;0;0;;
05:26;;00:00:41;246;7490,4284;;00:00:56;243;0;;00:00:54;224;0;;
05:27;;05:27;;00:01:00;370;36681,0981;;00:02:30;854;0;;00:02:30;854;0;;
05:28;;05:29;;00:01:32;615;11134,6369;;00:02:40;1017;0;;00:02:00;765;1,0001;;
05:29;;00:01:43;608;9577,5478;;00:03:24;1291;0;;00:05:41;2154;0;;
05:30;;05:30;;05:31;;05:32;;05:32;;05:33;;05:33;;00:01:19;490;15776,9024;;00:01:
55;951;0;;00:01:19;490;0;;
05:34;;05:34;;00:03:33;1064;41758,3884;;00:03:33;1064;0;;00:03:33;1064;0;;05:35;
;
00:02:51;887;5920,3386;;00:06:59;1959;0;;00:02:25;947;1,0001;;
05:35;;00:01:02;305;7165,4099;;00:02:10;707;0;;00:01:02;305;0;;
05:36;;00:02:53;525;2356,1347;;00:02:53;525;0;;00:02:53;525;0;;
05:36;;
Aperte ENTER para finalizar..
