HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
22:55;;00:02:02;712;1261,0721;;00:02:02;712;2,0002;;00:02:02;712;2,0001;;
22:55;;00:07:12;2458;1507,0862;;00:09:02;2901;0;;00:07:12;2458;0;;
22:56;;00:03:46;1196;4076,2332;;00:03:56;1736;1;;00:04:19;1588;0;;
22:57;;00:03:51;1124;4029,2305;;00:03:55;1297;0;;00:03:55;1297;1,0001;;
22:57;;00:00:13;76;5486,3138;;00:00:15;87;0;;00:00:15;87;0;;
22:58;;00:01:05;225;3988,2281;;00:05:22;2091;0;;00:01:05;225;1,0001;;
22:58;;00:00:19;83;3952,2261;;00:01:14;203;0;;00:00:36;213;0;;
22:59;;00:02:04;820;3923,2244;;00:02:04;820;0;;00:02:18;696;0;;
23:00;;00:04:28;1919;4079,2334;;00:08:13;3398;0;;00:08:13;3398;0;;
23:00;;00:02:30;1022;4782,2735;;00:02:30;1022;0;;00:05:32;1938;0;;
23:01;;00:01:18;419;4580,262;;00:03:20;965;1,0001;;00:01:45;547;0;;
23:01;;00:00:39;226;5572,3187;;00:01:27;533;0;;00:00:41;195;0;;
23:02;;00:02:05;517;4034,2307;;00:02:36;767;0;;00:02:36;767;0;;
23:02;;00:01:07;309;3860,2208;;00:01:20;432;0;;00:01:07;309;0;;
23:03;;00:01:30;419;3991,2283;;00:03:11;905;0;;00:01:30;419;0;;
23:03;;00:03:23;988;4632,265;;00:03:52;1435;0;;00:03:37;1262;0;;
23:04;;00:01:05;592;4103,2346;;00:01:27;414;0;;00:01:27;414;0;;
23:04;;00:01:05;217;5008,2864;;00:02:05;490;0;;00:01:05;217;0;;
23:05;;00:00:00;0;3719,2128;;00:04:04;1159;0;;00:00:00;0;1;;
23:05;;00:02:07;840;3938,2252;;00:02:32;875;0;;00:02:30;808;0;;
23:06;;00:01:06;315;4049,2316;;00:02:28;832;0;;00:01:06;315;0;;
23:06;;00:02:21;1205;4075,2331;;00:02:49;909;0;;00:02:34;709;0;;
23:07;;00:01:01;283;4942,2826;;00:01:01;283;1;;00:02:43;655;0;;
23:07;;00:02:05;471;4776,2732;;00:02:40;708;0;;00:03:13;786;1,0001;;
23:08;;00:00:47;315;5530,3163;;00:06:11;2053;0;;00:02:56;621;0;;
23:09;;00:00:19;85;3930,2248;;00:04:08;1210;0;;00:00:19;85;0;;
23:09;;00:01:29;417;2563,1466;;00:01:29;417;1;;00:01:29;417;0;;
23:10;;00:00:31;124;3854,2205;;00:04:09;1360;0;;00:00:31;124;0;;
23:10;;00:01:05;365;3505,2005;;00:01:49;477;0;;00:01:05;365;0;;
23:11;;00:00:23;118;4029,2305;;00:03:26;1112;0;;00:00:23;118;1,0001;;
23:12;;00:01:03;324;3689,211;;00:05:22;2069;0;;00:01:03;324;1;;
23:12;;00:00:45;217;3701,2117;;00:03:52;1078;0;;00:00:45;217;0;;

Aperte ENTER para finalizar..
