HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
01:25;|;00:00:22;104;16186,9258;;00:00:22;104;2,0001;;00:00:22;104;2,0001;;
01:26;|;00:00:16;93;7006,4007;;00:01:29;552;0;;00:00:16;93;0;;
01:27;|;00:02:47;1090;7587,434;;00:02:47;1090;0;;00:03:38;1063;0;;
01:27;|;00:01:01;299;8263,4727;;00:01:12;380;0;;00:01:09;364;1,0001;;
01:28;|;00:02:41;968;9488,5428;;00:03:11;1063;0;;00:04:07;1422;0;;
01:28;|;00:01:31;606;8952,512;;00:03:19;1883;0;;00:01:31;606;0;;
01:29;|;00:00:11;79;8627,4934;;00:00:23;109;0;;00:00:11;79;0;;
01:29;|;00:00:38;124;8148,4661;;00:05:30;1993;0;;00:00:38;124;0;;
01:30;|;00:00:48;113;9074,519;;00:01:02;169;0;;00:00:48;113;0;;
01:30;|;00:02:13;634;4224,2416;;00:04:10;1371;0;;00:03:19;877;0;;
01:31;|;00:02:01;486;7375,4219;;00:02:08;555;0;;00:03:14;859;0;;
01:31;|;00:03:12;1165;6564,3754;;00:06:05;3005;0;;00:03:12;1165;0;;
01:32;|;00:00:32;357;8887,5083;;00:00:32;357;0;;00:01:17;365;0;;
01:32;|;00:01:55;531;8390,48;;00:04:36;1762;0;;00:05:37;1957;1;;
01:33;|;00:01:14;380;7311,4181;;00:05:03;1777;1,0001;;00:04:30;1165;1,0001;;
01:33;|;00:01:26;410;8265,4727;;00:04:11;1328;1;;00:04:36;1351;0;;
01:34;|;00:01:37;498;8489,4855;;00:04:04;1362;0;;00:01:37;498;0;;
01:34;|;00:01:09;343;9172,5247;;00:04:09;1278;0;;00:01:50;658;0;;
01:35;|;00:01:28;371;9375,5363;;00:03:16;769;0;;00:03:50;773;0;;
01:35;|;00:02:53;915;8738,4998;;00:02:53;915;0;;00:02:53;915;0;;
01:36;|;00:00:06;73;8398,4803;;00:03:23;1070;0;;00:00:06;73;0;;
01:37;|;00:01:25;369;8109,4638;;00:03:56;1315;0;;00:04:08;1556;0;;
01:37;|;00:00:37;212;7978,4563;;00:00:37;212;0;;00:01:06;429;0;;
01:38;|;00:01:53;489;8588,4912;;00:03:44;961;0;;00:03:44;961;0;;
01:38;|;00:00:38;205;9929,5679;;00:01:01;370;0;;00:01:18;328;0;;
01:39;|;00:02:21;797;8213,4698;;00:02:40;665;1,0001;;00:02:40;665;0;;
01:40;|;00:01:13;565;8079,4622;;00:01:22;423;0;;00:01:22;423;0;;
01:40;|;00:02:03;661;8258,4723;;00:02:03;661;0;;00:03:01;1027;0;;
01:41;|;00:02:12;696;8636,494;;00:02:38;912;0;;00:03:17;807;0;;
01:41;|;00:03:10;923;8726,4991;;00:03:38;1242;0;;00:03:13;892;0;;
01:42;|;00:00:02;16;9000,5148;;00:05:06;1904;1,0001;;00:00:02;16;0;;
01:42;|;00:01:15;380;7584,4338;;00:01:38;492;0;;00:01:22;428;0;;
01:43;|;00:02:16;598;8474,4847;;00:05:02;1896;1;;00:02:58;1003;0;;
01:43;|;00:01:35;477;7859,4495;;00:04:48;1599;0;;00:01:55;495;0;;
01:44;|;00:00:50;240;7726,4419;;00:05:28;1790;0;;00:00:57;288;0;;

Aperte ENTER para finalizar..
