HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
22:31;;00:01:31;329;4692,2684;;00:03:22;936;2,0001;;00:03:09;806;1;;
22:31;;00:01:59;609;3860,2208;;00:04:33;1710;0;;00:02:10;675;0;;
22:32;;00:01:22;398;2751,1574;;00:04:07;1266;0;;00:01:22;398;0;;
22:32;;00:00:00;0;3988,2281;;00:04:09;2239;0;;00:00:00;0;0;;
22:33;;00:00:38;216;4254,2433;;00:05:11;1849;0;;00:02:46;704;0;;
22:33;;00:01:46;508;4000,2288;;00:01:58;980;0;;00:01:46;508;0;;
22:34;;00:03:02;1085;4065,2326;;00:06:07;1764;0;;00:03:42;1017;0;;
22:34;;00:00:47;445;3931,2249;;00:03:11;876;0;;00:05:02;1775;0;;
22:35;;00:03:54;1907;4260,2437;;00:05:43;2155;0;;00:05:33;1940;0;;
22:35;;00:02:16;669;2811,1608;;00:02:16;669;0;;00:02:16;669;0;;
22:36;;00:01:27;429;4023,2302;;00:02:44;819;0;;00:02:44;819;1;;
22:36;;00:03:03;1345;3423,1958;;00:04:06;1342;0;;00:03:03;1345;0;;
22:37;;00:01:27;428;3825,2188;;00:02:06;606;0;;00:01:49;522;0;;
22:38;;00:01:30;449;3220,1842;;00:03:10;736;0;;00:01:30;449;0;;
22:38;;00:02:09;676;4200,2402;;00:05:42;1873;0;;00:02:09;676;0;;
22:39;;00:00:56;442;4057,2321;;00:02:32;1031;1;;00:02:47;1118;0;;
22:39;;00:04:41;1019;4089,2339;;00:05:03;2287;0;;00:07:39;2533;1,0001;;
22:40;;00:01:10;290;4396,2514;;00:01:10;290;0;;00:01:21;385;0;;
22:40;;00:01:50;614;4250,2431;;00:02:23;610;0;;00:02:23;610;0;;
22:41;;00:01:30;585;4106,2349;;00:08:18;3435;0;;00:01:30;585;0;;
22:41;;00:00:43;256;3987,2281;;00:02:02;658;0;;00:03:08;860;0;;
22:42;;00:00:16;174;4108,2349;;00:04:26;1219;0;;00:00:16;174;1,0001;;
22:42;;00:00:02;19;4327,2475;;00:03:35;1406;0;;00:00:02;19;0;;
22:43;;00:01:36;526;3865,2211;;00:02:29;892;0;;00:02:14;792;0;;
22:44;;00:03:19;972;1774,1015;;00:04:16;1149;0;;00:03:19;972;0;;
22:44;;00:00:42;246;3813,2181;;00:04:51;2562;0;;00:00:42;246;0;;
22:45;;00:00:45;131;4346,2486;;00:04:07;1094;0;;00:00:45;131;0;;
22:45;;00:00:12;85;3836,2194;;00:02:57;1006;0;;00:00:12;85;0;;
22:46;;00:00:00;0;3729,2133;;00:03:52;1587;0;;00:00:00;0;0;;
22:46;;00:03:18;1245;4011,2294;;00:05:06;2390;0;;00:03:18;1245;1,0001;;
22:47;;00:00:00;0;3643,2084;;00:01:17;451;0;;00:00:00;0;0;;
22:47;;00:01:02;385;3747,2143;;00:04:59;1663;0;;00:01:02;385;0;;

Aperte ENTER para finalizar..
