HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
17:44;;00:03:17;836;1661,095;;00:03:17;836;2,0001;;00:03:17;836;3,0002;;
17:45;;00:00:35;341;3220,1841;;00:05:56;2366;0;;00:00:35;341;0;;
17:45;;00:02:02;1082;3188,1823;;00:04:01;1761;0;;00:04:01;1761;0;;
17:46;;00:00:47;164;5090,2911;;00:00:47;164;0;;00:03:01;864;1;;
17:46;;00:00:06;59;2994,1712;;00:04:31;1472;0;;00:00:06;59;1,0001;;
17:47;;00:01:12;641;1930,1104;;00:05:52;1944;0;;00:01:12;641;0;;
17:47;;00:00:31;168;3066,1753;;00:02:23;980;0;;00:02:23;980;0;;
17:48;;00:02:25;870;3120,1785;;00:02:36;721;0;;00:02:36;721;0;;
17:48;;00:04:26;1154;1821,1042;;00:04:26;1154;0;;00:04:26;1154;0;;
17:49;;00:01:28;618;3190,1825;;00:04:43;1408;1,0001;;00:02:03;671;1,0001;;
17:49;;00:02:28;1558;3023,1729;;00:03:31;1700;0;;00:04:06;1687;0;;
17:50;;00:02:14;701;2510,1435;;00:04:00;1022;0;;00:02:50;1297;0;;
17:50;;00:01:42;568;1891,1081;;00:02:52;855;1,0001;;00:01:42;568;0;;
17:51;;00:00:00;0;3160,1808;;00:04:11;1851;0;;00:00:00;0;0;;
17:52;;00:01:48;590;1953,1117;;00:04:14;1580;0;;00:01:48;590;0;;
17:52;;00:01:29;457;3105,1776;;00:03:58;1168;0;;00:01:29;457;0;;
17:53;;00:03:51;1121;1438,0822;;00:06:33;2374;0;;00:03:51;1121;0;;
17:53;;00:01:45;551;3182,182;;00:01:45;551;0;;00:01:45;551;0;;
17:54;;00:00:49;212;3265,1868;;00:04:02;1227;0;;00:00:49;212;0;;
17:55;;00:01:06;345;3178,1818;;00:01:06;345;0;;00:01:06;345;0;;
17:55;;00:00:52;275;3247,1857;;00:08:02;2864;0;;00:00:52;275;1,0001;;
17:56;;00:01:40;513;2752,1575;;00:01:57;686;0;;00:01:57;686;0;;
17:56;;00:00:50;245;3049,1744;;00:01:18;453;0;;00:01:18;453;0;;
17:57;;00:00:48;229;3096,1771;;00:02:48;695;0;;00:01:10;353;1;;
17:57;;00:00:04;25;3027,1732;;00:00:04;25;0;;00:00:04;25;1;;
17:58;;00:00:00;0;3129,179;;00:05:04;2136;0;;00:00:00;0;0;;
17:58;;00:00:37;185;3091,1768;;00:01:15;590;0;;00:00:38;175;0;;
17:59;;00:00:50;313;3061,1751;;00:02:25;780;1,0001;;00:01:54;657;0;;
17:59;;00:02:39;908;3123,1787;;00:03:21;1244;0;;00:02:39;908;0;;
18:00;;00:01:08;366;3003,1717;;00:03:53;1603;0;;00:01:15;452;1,0001;;
18:00;;00:06:32;2257;596,0341;;00:06:32;2257;0;;00:06:32;2257;0;;
18:01;;00:02:20;953;3250,1859;;00:04:07;1419;0;;00:02:20;953;0;;
18:01;;00:02:25;759;3192,1826;;00:03:03;1280;1,0001;;00:03:03;1280;1,0001;;
18:02;;00:00:00;0;3066,1753;;00:03:38;1440;0;;00:03:38;1440;1;;
18:03;;00:03:23;1600;2745,157;;00:04:51;1837;0;;00:04:51;1837;0;;

Aperte ENTER para finalizar..
