HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
00:13;|;00:01:37;340;4643,2656;;00:01:37;340;2,0002;;00:01:37;340;1,0001;;
00:13;|;00:00:38;187;3902,2232;;00:00:57;309;0;;00:00:38;187;0;;
00:14;|;00:02:46;1483;3975,2274;;00:02:49;1299;1;;00:02:49;1299;0;;
00:14;|;00:00:59;272;4128,2361;;00:05:32;2137;1,0001;;00:05:32;2137;0;;
00:15;|;00:00:50;259;4030,2305;;00:06:13;2164;0;;00:06:37;2433;0;;
00:15;|;00:00:09;97;3978,2276;;00:02:09;1079;1,0001;;00:00:09;97;1,0001;;
00:16;|;00:01:55;590;4072,2329;;00:05:43;3318;0;;00:01:55;590;1;;
00:16;|;00:03:52;1737;3921,2243;;00:04:27;1752;0;;00:03:52;1737;0;;
00:17;|;00:00:00;0;3972,2272;;00:00:00;0;1,0001;;00:00:00;0;0;;
00:17;|;00:01:57;539;4015,2296;;00:01:57;539;0;;00:01:57;539;1,0001;;
00:18;|;00:05:40;2617;3992,2283;;00:05:40;2617;0;;00:07:10;2304;0;;
00:18;|;00:01:56;587;3991,2283;;00:05:37;1581;0;;00:05:37;1581;1,0001;;
00:19;|;00:00:00;0;3836,2194;;00:00:00;0;0;;00:00:00;0;0;;
00:20;|;00:04:05;2808;4064,2325;;00:04:46;1920;0;;00:05:29;2882;0;;
00:20;|;00:00:34;175;3352,1918;;00:01:51;585;1,0001;;00:00:34;175;0;;
00:21;|;00:01:45;633;4279,2448;;00:01:45;633;0;;00:01:45;633;1;;
00:21;|;00:01:39;581;4395,2514;;00:03:03;1080;0;;00:03:03;1080;1,0001;;
00:22;|;00:06:05;1969;808,0462;;00:06:05;1969;0;;00:06:05;1969;0;;
00:23;|;00:01:53;459;4116,2354;;00:03:02;941;0;;00:03:02;941;0;;
00:23;|;00:00:46;118;4379,2505;;00:01:38;456;0;;00:00:46;118;0;;
00:24;|;00:02:07;550;3925,2245;;00:02:37;496;0;;00:02:37;496;0;;
00:24;|;00:00:10;106;4236,2423;;00:01:12;389;0;;00:00:10;106;1;;
00:25;|;00:03:29;2077;4014,2296;;00:06:04;2216;0;;00:06:04;2216;0;;
00:25;|;00:01:04;340;4054,2319;;00:02:36;603;0;;00:02:36;726;0;;
00:26;|;00:01:57;677;4049,2316;;00:02:32;1140;0;;00:03:03;1314;0;;
00:26;|;00:00:00;0;4278,2447;;00:02:17;420;0;;00:00:00;0;0;;
00:27;|;00:02:37;710;4131,2363;;00:04:33;1627;0;;00:02:37;710;0;;
00:27;|;00:02:05;490;4267,2441;;00:02:47;739;0;;00:03:31;919;1,0001;;
00:28;|;00:02:35;837;1948,1115;;00:06:00;1955;0;;00:02:35;837;0;;
00:28;|;00:01:33;390;4197,2401;;00:03:01;695;0;;00:01:33;390;1;;
00:29;|;00:00:12;86;3995,2285;;00:02:14;605;0;;00:00:12;86;1;;
00:29;|;00:00:52;235;3760,2151;;00:01:32;488;0;;00:01:06;362;0;;

Aperte ENTER para finalizar..
