HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
20:29;;00:03:03;1124;4776,2732;;00:04:07;1415;2,0001;;00:06:58;2288;2,0001;;
20:29;;00:00:54;260;4030,2305;;00:00:54;260;0;;00:01:05;322;0;;
20:30;;00:00:06;43;3779,2161;;00:01:05;347;0;;00:00:06;43;1,0001;;
20:30;;00:00:21;148;3915,2239;;00:00:21;148;0;;00:00:21;148;0;;
20:31;;00:00:55;341;4118,2355;;00:01:46;468;0;;00:01:46;468;0;;
20:31;;00:02:12;619;3985,228;;00:04:25;1254;0;;00:05:01;1455;0;;
20:32;;00:00:00;0;4017,2298;;00:01:24;423;0;;00:00:00;0;0;;
20:32;;00:02:29;876;3978,2276;;00:03:14;964;0;;00:04:23;2297;0;;
20:33;;00:06:13;2041;777,0444;;00:06:13;2041;0;;00:06:13;2041;0;;
20:33;;00:00:41;182;3722,2129;;00:03:27;1226;0;;00:00:41;182;0;;
20:34;;00:00:43;181;4169,2384;;00:00:43;181;0;;00:01:47;473;0;;
20:34;;00:01:24;441;3855,2205;;00:02:06;811;1;;00:01:24;441;0;;
20:35;;00:00:54;432;3987,2281;;00:04:13;1182;1;;00:02:37;903;0;;
20:35;;00:01:46;520;4252,2432;;00:03:33;920;1,0001;;00:04:16;1204;0;;
20:36;;00:00:20;96;3693,2112;;00:00:20;96;1,0001;;00:00:20;96;0;;
20:36;;00:00:39;189;3765,2154;;00:01:35;516;0;;00:00:39;189;0;;
20:37;;00:01:13;297;3950,2259;;00:01:13;297;0;;00:02:04;621;0;;
20:37;;00:00:56;238;3924,2244;;00:00:56;238;0;;00:00:56;238;0;;
20:38;;00:03:15;1561;3856,2205;;00:03:15;1561;0;;00:05:01;2145;0;;
20:39;;00:00:52;246;3719,2127;;00:00:52;246;0;;00:00:52;246;0;;
20:39;;00:00:25;190;4137,2366;;00:05:03;1649;1;;00:00:25;190;1,0001;;
20:40;;00:01:26;403;2770,1585;;00:03:33;1071;0;;00:01:32;481;0;;
20:40;;00:02:43;1131;4173,2387;;00:04:07;964;0;;00:04:09;986;0;;
20:41;;00:00:29;29;4115,2354;;00:03:39;1148;0;;00:00:29;29;1;;
20:41;;00:00:36;162;3879,2219;;00:04:19;1395;0;;00:00:36;162;0;;
20:42;;00:02:00;649;3895,2228;;00:02:00;649;0;;00:02:05;636;0;;
20:43;;00:00:52;177;4120,2356;;00:03:29;805;0;;00:00:52;177;0;;
20:43;;00:01:41;388;3872,2215;;00:03:53;1115;0;;00:02:27;781;0;;
20:44;;00:02:48;903;4032,2306;;00:04:47;1582;0;;00:04:47;1582;0;;
20:44;;00:00:58;270;3878,2218;;00:01:49;533;1,0001;;00:01:54;640;0;;

Aperte ENTER para finalizar..
