HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
22:23;|;00:00:25;280;5841,3341;;00:01:06;403;3,0002;;00:01:06;403;2,0001;;
22:24;|;00:03:11;933;5531,3164;;00:04:56;1614;0;;00:03:56;1011;1;;
22:25;|;00:12:32;6952;5146,2944;;00:13:56;7577;0;;00:13:55;7538;1,0001;;
22:25;|;00:02:00;535;4612,2638;;00:02:20;1016;0;;00:03:59;1465;0;;
22:26;|;00:01:22;423;4133,2365;;00:03:46;1008;0;;00:01:44;491;0;;
22:26;|;00:01:28;479;4834,2765;;00:02:39;888;0;;00:01:28;479;1;;
22:27;|;00:01:49;419;4230,242;;00:01:49;346;0;;00:01:49;419;0;;
22:28;|;00:00:46;228;3822,2186;;00:01:06;327;1,0001;;00:00:46;228;0;;
22:28;|;00:01:22;451;3836,2195;;00:01:42;527;1;;00:01:42;527;0;;
22:29;|;00:04:07;1233;800,0458;;00:04:07;1233;0;;00:04:07;1233;0;;
22:29;|;00:02:00;598;3824,2187;;00:02:00;598;0;;00:02:00;557;0;;
22:30;|;00:01:58;645;4286,2451;;00:03:28;1017;0;;00:02:51;1040;0;;
22:30;|;00:00:16;179;4762,2723;;00:02:20;470;0;;00:04:35;1457;0;;
22:31;|;00:00:31;197;4396,2514;;00:03:07;924;0;;00:00:31;197;0;;
22:31;|;00:01:42;569;2322,1328;;00:01:42;569;0;;00:01:42;569;0;;
22:32;|;00:01:06;181;4714,2697;;00:07:17;2749;1,0001;;00:02:45;775;0;;
22:32;|;00:01:07;250;4280,2448;;00:03:01;814;0;;00:01:07;250;0;;
22:33;|;00:00:00;0;5081,2906;;00:04:59;2540;0;;00:00:00;0;0;;
22:33;|;00:01:24;691;4067,2327;;00:01:24;691;1,0001;;00:04:21;1601;0;;
22:34;|;00:01:59;570;4803,2747;;00:01:59;570;0;;00:04:36;1353;1,0001;;
22:35;|;00:01:45;401;4138,2367;;00:01:45;401;0;;00:01:45;401;0;;
22:35;|;00:01:19;439;4130,2363;;00:04:08;1244;1,0001;;00:01:19;439;0;;
22:36;|;00:01:48;539;3372,1929;;00:03:42;1153;0;;00:01:48;539;0;;
22:36;|;00:01:44;438;4196,2401;;00:01:44;438;0;;00:02:11;561;0;;
22:37;|;00:00:00;0;3967,2269;;00:01:12;424;0;;00:00:00;0;0;;
22:38;|;00:00:07;74;3811,2179;;00:00:41;129;0;;00:00:41;129;0;;
22:38;|;00:02:48;941;4074,2331;;00:04:15;1126;0;;00:05:56;1837;0;;
22:39;|;00:00:48;244;3964,2268;;00:02:45;1056;0;;00:00:54;169;0;;
22:39;|;00:01:48;411;4058,2321;;00:03:46;1315;0;;00:03:07;1230;0;;
22:40;|;00:01:35;559;3820,2185;;00:02:00;564;0;;00:02:12;774;0;;
22:40;|;00:00:00;0;3847,22;;00:01:15;399;0;;00:02:26;816;0;;
22:41;|;00:02:04;635;3947,2258;;00:02:11;660;0;;00:02:04;635;0;;

Aperte ENTER para finalizar..
