HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
19:53;|;00:03:11;769;6534,3737;;00:04:14;1538;4,0002;;00:03:11;769;3,0002;;
19:54;|;00:01:29;441;6242,357;;00:03:05;1052;1,0001;;00:03:05;846;1;;
19:54;|;00:00:44;206;8019,4587;;00:03:41;1040;1,0001;;00:01:14;331;1,0001;;
19:55;|;00:00:25;333;7978,4564;;00:02:13;688;0;;00:00:25;333;0;;
19:55;|;00:00:54;282;6064,3469;;00:05:16;1493;0;;00:00:54;282;0;;
19:56;|;00:00:29;326;6541,3741;;00:00:29;326;0;;00:03:56;1178;0;;
19:56;|;00:02:26;670;6876,3933;;00:03:42;1081;1;;00:02:26;670;0;;
19:57;|;00:03:11;1085;7881,4508;;00:07:40;2721;0;;00:03:56;1215;1,0001;;
19:58;|;00:00:04;52;5575,3189;;00:07:10;2205;0;;00:05:25;1721;1,0001;;
19:58;|;00:00:35;181;5383,3079;;00:03:09;1125;1;;00:00:35;181;0;;
19:59;|;00:02:32;790;7345,4201;;00:05:46;1988;0;;00:02:37;725;1,0001;;
19:59;|;00:02:15;1370;5570,3186;;00:02:15;1370;1;;00:02:15;1370;0;;
20:00;|;00:02:06;525;7292,4171;;00:05:04;1689;1,0001;;00:02:06;525;0;;
20:00;|;00:00:47;213;6450,369;;00:00:47;213;1;;00:01:50;512;0;;
20:01;|;00:01:35;600;5590,3198;;00:01:35;600;1;;00:05:11;2126;1;;
20:02;|;00:02:24;462;5723,3274;;00:02:48;553;1,0001;;00:02:48;553;0;;
20:02;|;00:00:20;89;7683,4395;;00:04:52;1352;0;;00:00:20;89;1;;
20:03;|;00:01:27;378;5811,3324;;00:05:22;2163;0;;00:05:22;2163;0;;
20:03;|;00:00:04;31;5697,3259;;00:00:04;31;0;;00:00:04;31;0;;
20:04;|;00:00:44;345;6313,3611;;00:05:11;2212;0;;00:00:44;345;0;;
20:04;|;00:01:54;526;8192,4685;;00:01:54;526;0;;00:02:36;688;0;;
20:05;|;00:01:07;292;7273,416;;00:01:45;547;0;;00:02:07;516;1,0001;;
20:05;|;00:00:57;261;5752,329;;00:00:57;261;0;;00:00:57;261;0;;
20:06;|;00:01:18;473;6624,3789;;00:04:12;1237;0;;00:01:18;473;0;;
20:06;|;00:01:18;578;6883,3937;;00:03:08;1163;0;;00:01:18;578;1,0001;;
20:07;|;00:00:52;266;5639,3226;;00:02:15;651;0;;00:00:52;266;0;;
20:07;|;00:02:52;998;5722,3273;;00:04:13;1443;0;;00:03:23;1266;0;;
20:08;|;00:00:04;44;6935,3967;;00:00:04;44;0;;00:00:04;44;0;;
20:08;|;00:02:03;1277;8130,4651;;00:02:56;1251;0;;00:03:50;1955;0;;
20:09;|;00:02:29;749;5865,3355;;00:04:18;897;0;;00:03:12;721;1,0001;;
20:09;|;00:01:08;541;10430,5966;;00:05:41;2284;0;;00:04:18;1393;0;;
20:10;|;00:01:04;306;11835,6769;;00:02:35;911;0;;00:02:35;911;0;;

Aperte ENTER para finalizar..
