HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
13:12;;00:01:13;365;4122,2358;;00:01:40;506;2,0001;;00:01:40;506;2,0001;;
13:12;;00:01:42;474;3640,2082;;00:02:49;739;0;;00:01:42;474;0;;
13:13;;00:00:48;285;3455,1976;;00:05:02;1636;1,0001;;00:04:07;1340;0;;
13:13;;00:00:56;364;3642,2083;;00:04:10;1315;1,0001;;00:04:39;1248;0;;
13:14;;00:01:25;458;3531,202;;00:02:20;1039;0;;00:03:57;1233;0;;
13:15;;00:00:43;204;3471,1985;;00:00:43;204;1,0001;;00:05:09;1732;0;;
13:15;;00:00:52;186;5235,2994;;00:00:52;186;0;;00:03:51;1363;0;;
13:16;;00:00:50;240;3736,2137;;00:06:59;2116;1,0001;;00:00:50;240;0;;
13:16;;00:01:41;306;3978,2276;;00:01:46;306;0;;00:05:05;1614;0;;
13:17;;00:00:00;0;3403,1947;;00:08:13;3398;0;;00:00:00;0;0;;
13:17;;00:00:55;244;3419,1956;;00:04:37;1796;0;;00:00:55;244;0;;
13:18;;00:02:34;841;4190,2397;;00:02:34;841;1;;00:02:55;833;0;;
13:18;;00:01:07;287;3430,1961;;00:01:07;287;0;;00:01:07;287;0;;
13:19;;00:00:26;298;3499,2001;;00:02:08;707;0;;00:00:26;298;1;;
13:19;;00:00:00;0;3418,1955;;00:00:00;0;1,0001;;00:00:00;0;0;;
13:20;;00:01:38;693;3461,1979;;00:02:06;845;0;;00:03:28;1466;0;;
13:21;;00:00:39;206;3597,2058;;00:01:55;575;0;;00:01:16;426;1;;
13:21;;00:02:02;1337;3702,2118;;00:04:14;1617;0;;00:06:00;2265;0;;
13:22;;00:04:39;3182;3524,2016;;00:08:20;4720;0;;00:04:39;3182;1,0001;;
13:22;;00:02:23;804;3480,199;;00:03:44;1330;0;;00:02:23;804;0;;
13:23;;00:02:13;288;3423,1958;;00:04:59;1655;0;;00:02:13;288;1;;
13:23;;00:00:00;0;3407,1949;;00:00:52;162;0;;00:00:00;0;1,0001;;
13:24;;00:01:03;248;3420,1956;;00:01:40;502;0;;00:01:30;442;0;;
13:25;;00:01:31;409;3480,199;;00:03:30;797;0;;00:07:46;2981;0;;
13:25;;00:02:33;760;3467,1983;;00:04:19;1327;0;;00:04:04;1123;0;;
13:26;;00:01:50;583;3503,2004;;00:02:49;888;0;;00:02:56;1219;0;;
13:26;;00:00:50;92;3366,1926;;00:00:50;92;0;;00:00:50;92;0;;
13:27;;00:00:43;203;4077,2332;;00:01:03;316;0;;00:01:09;283;0;;
13:27;;00:02:09;925;3851,2203;;00:02:09;925;0;;00:02:13;971;0;;
13:28;;00:03:46;1038;1634,0935;;00:06:34;1929;1,0001;;00:04:35;1489;0;;
13:28;;00:00:12;128;4087,2337;;00:01:50;363;1;;00:01:50;363;0;;
13:29;;00:02:33;1043;3522,2015;;00:02:33;1043;0;;00:04:04;1645;0;;
13:29;;00:01:35;534;3530,2019;;00:02:14;669;0;;00:01:35;534;0;;
13:30;;00:00:15;59;3503,2003;;00:00:30;167;0;;00:00:30;167;0;;
13:30;;00:00:39;177;3541,2026;;00:01:34;505;0;;00:00:52;239;0;;

Aperte ENTER para finalizar..
