Cliente 10;07/02/2013 23:35:47;00:05:01;1691;
Cliente 11;07/02/2013 23:36:11;00:11:11;3928;
Cliente 12;07/02/2013 23:36:35;00:05:46;1779;
Cliente 13;07/02/2013 23:36:54;00:09:11;2701;
Cliente 14;07/02/2013 23:37:13;00:03:02;716;
Cliente 15;07/02/2013 23:37:37;00:04:33;1645;
Cliente 16;07/02/2013 23:37:56;00:03:17;1092;
Cliente 17;07/02/2013 23:38:25;00:04:55;862;
Cliente 18;07/02/2013 23:38:39;00:05:56;2107;
Cliente 19;07/02/2013 23:38:57;00:04:20;1724;
Cliente 2;07/02/2013 23:39:14;00:07:37;3155;
Cliente 20;07/02/2013 23:39:27;00:06:18;520;
Cliente 21;07/02/2013 23:39:51;00:05:36;1701;
Cliente 22;07/02/2013 23:40:04;00:00:00;0;
Cliente 23;07/02/2013 23:40:23;00:05:06;1268;
Cliente 24;07/02/2013 23:40:39;00:08:27;2706;
Cliente 25;07/02/2013 23:40:53;00:02:32;210;
Cliente 26;07/02/2013 23:41:17;00:07:11;2239;
Cliente 27;07/02/2013 23:41:30;00:10:53;4749;
Cliente 28;07/02/2013 23:41:49;00:02:01;563;
Cliente 29;07/02/2013 23:42:03;00:05:34;1610;
Cliente 3;07/02/2013 23:42:19;00:06:57;2607;
Cliente 30;07/02/2013 23:42:43;00:03:37;1512;
Cliente 31;07/02/2013 23:42:56;00:10:41;2737;
Cliente 32;07/02/2013 23:43:15;00:08:30;1893;
Cliente 33;07/02/2013 23:43:28;00:05:56;1678;
Cliente 34;07/02/2013 23:43:44;00:04:06;1351;
Cliente 35;07/02/2013 23:44:09;00:04:20;361;
Cliente 36;07/02/2013 23:44:22;00:06:23;2885;
Cliente 37;07/02/2013 23:44:41;00:05:49;1724;
Cliente 38;07/02/2013 23:44:54;00:14:15;1212;
Cliente 39;07/02/2013 23:45:10;00:02:54;1126;
Cliente 4;07/02/2013 23:45:35;00:11:00;4750;
Cliente 40;07/02/2013 23:45:48;00:03:47;1216;
Cliente 5;07/02/2013 23:46:07;00:01:50;553;
Cliente 6;07/02/2013 23:46:20;00:01:37;135;
Cliente 7;07/02/2013 23:46:36;00:03:33;1191;
Cliente 8;07/02/2013 23:47:00;00:06:35;3549;
Cliente 9;07/02/2013 23:47:14;00:05:19;1799;
Cliente1;07/02/2013 23:47:33;00:06:22;2391;
Taxista100;07/02/2013 23:47:46;00:04:18;1168;
Taxista101;07/02/2013 23:48:02;00:24:13;5981;
Taxista102;07/02/2013 23:48:15;00:07:15;1536;
Taxista103;07/02/2013 23:48:34;00:03:42;1158;
Taxista104;07/02/2013 23:48:48;00:16:46;1410;
Taxista105;07/02/2013 23:49:04;00:12:03;3615;
Taxista106;07/02/2013 23:49:23;00:03:51;1141;
Taxista107;07/02/2013 23:49:36;00:11:28;3683;
Taxista108;07/02/2013 23:49:49;00:06:11;2062;
Taxista109;07/02/2013 23:50:05;00:12:08;1007;

Tempo médio: 00:00:00


Aperte ENTER para finalizar..
