******* broadcasting ******* 

Cliente 10;30/01/2013 20:03:56;00:01:46
Cliente 11;30/01/2013 20:04:06;00:05:45
Cliente 12;30/01/2013 20:04:16;00:03:07
Cliente 13;30/01/2013 20:04:26;00:04:50
Cliente 14;30/01/2013 20:04:36;00:02:09
Cliente 15;30/01/2013 20:04:46;00:06:06
Cliente 16;30/01/2013 20:04:56;00:05:45
Cliente 17;30/01/2013 20:05:06;00:06:13
Cliente 18;30/01/2013 20:05:16;00:02:30
Cliente 19;30/01/2013 20:05:26;00:06:01
Cliente 2;30/01/2013 20:05:36;00:08:51
Cliente 20;30/01/2013 20:05:46;00:08:06
Cliente 21;30/01/2013 20:05:56;00:05:12
Cliente 22;30/01/2013 20:06:06;00:07:43
Cliente 23;30/01/2013 20:06:16;00:06:23
Cliente 24;30/01/2013 20:06:26;00:05:43
Cliente 25;30/01/2013 20:06:36;00:07:31
Cliente 26;30/01/2013 20:06:46;00:04:32
Cliente 27;30/01/2013 20:06:56;00:05:17
Cliente 28;30/01/2013 20:07:06;00:05:01
Cliente 29;30/01/2013 20:07:16;00:05:01
Cliente 3;30/01/2013 20:07:26;00:11:07
Cliente 30;30/01/2013 20:07:36;00:27:47
Cliente 31;30/01/2013 20:07:46;00:03:45
Cliente 32;30/01/2013 20:07:56;00:24:39
Cliente 33;30/01/2013 20:08:06;00:02:45
Cliente 34;30/01/2013 20:08:16;00:00:00
Cliente 35;30/01/2013 20:08:26;00:06:17
Cliente 36;30/01/2013 20:08:36;00:06:31
Cliente 37;30/01/2013 20:08:46;00:02:39
Cliente 38;30/01/2013 20:08:56;00:06:24
Cliente 39;30/01/2013 20:09:06;00:06:26
Cliente 4;30/01/2013 20:09:16;00:02:47
Cliente 40;30/01/2013 20:09:26;00:06:04
Cliente 5;30/01/2013 20:09:36;00:05:56
Cliente 6;30/01/2013 20:09:46;00:01:13
Cliente 7;30/01/2013 20:09:56;00:11:18
Cliente 8;30/01/2013 20:10:06;00:20:01
Cliente 9;30/01/2013 20:10:16;00:08:03
Cliente1;30/01/2013 20:10:26;00:06:42
Taxista100;30/01/2013 20:10:36;00:06:35
Taxista101;30/01/2013 20:10:46;00:10:10
Taxista102;30/01/2013 20:10:56;00:06:23
Taxista103;30/01/2013 20:11:06;00:03:49
Taxista104;30/01/2013 20:11:16;00:02:34
Taxista105;30/01/2013 20:11:26;00:04:10
Taxista106;30/01/2013 20:11:36;00:25:28
Taxista107;30/01/2013 20:11:46;00:06:35
Taxista108;30/01/2013 20:11:56;00:02:20
Taxista109;30/01/2013 20:12:06;00:11:18

Tempo médio: 00:07:03.9600000


Aperte ENTER para finalizar..
